Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68012000	1	1	Exptl	200	2200	A	1618	3.62	5.64	0.00
68012000	1	2	Exptl	190	2390	B	1785	13.79	15.82	10.00
68012000	1	3	Exptl	90	2480	C	1305	25.31	27.34	22.00
68012000	1	4	Exptl	100	2580	D	565	36.57	38.59	34.00
68012000	1	5	Exptl	190	2770	A	847	47.85	49.87	45.00
68012000	1	6	Exptl	-240	2530	B	792	58.79	60.82	56.00
68012000	1	7	Exptl	-250	2280	A	1089	70.09	72.12	67.00
68012000	1	8	Exptl	-40	2240	C	1019	80.02	82.05	77.00
68012000	1	9	Exptl	90	2330	D	1412	90.41	92.44	87.00
68012000	1	10	Exptl	-50	2280	D	1046	100.05	102.08	97.00
68012000	1	11	Exptl	100	2380	C	672	110.67	112.71	108.00
68012000	1	12	Exptl	-40	2340	C	1108	123.11	125.14	120.00
68012000	1	13	Exptl	110	2450	D	1318	135.32	137.34	132.00
68012000	1	14	Exptl	-40	2410	D	1077	146.08	148.11	143.00
68012000	1	15	Exptl	110	2520	C	996	157.00	159.02	154.00
68012000	1	16	Exptl	90	2610	C	767	168.77	170.79	166.00
68012000	1	17	Exptl	90	2700	D	2129	180.13	182.16	176.00
68012000	1	18	Exptl	-60	2640	D	846	189.85	191.87	187.00
68012000	1	19	Exptl	-60	2580	C	1007	200.01	202.04	197.00
68012000	1	20	Exptl	210	2790	A	1591	212.59	214.62	209.00
68012000	1	21	Exptl	200	2990	B	932	221.93	223.96	219.00
68012000	1	22	Exptl	-240	2750	A	1033	233.03	235.06	230.00
68012000	1	23	Exptl	-260	2490	B	1123	245.12	247.15	242.00
68012000	1	24	Exptl	110	2600	C	722	254.72	256.75	252.00
68012000	1	25	Exptl	-40	2560	D	1073	265.07	267.10	262.00
68012000	1	26	Exptl	-60	2500	C	1121	276.12	278.15	273.00
68012000	1	27	Exptl	110	2610	D	2214	289.21	291.24	285.00
68012000	1	28	Exptl	-60	2550	D	1909	298.91	300.93	295.00
68012000	1	29	Exptl	-50	2500	C	948	309.95	311.98	307.00
68012000	1	30	Exptl	-260	2240	A	1171	321.17	323.20	318.00
68012000	1	31	Exptl	210	2450	B	940	330.94	332.97	328.00
