Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
660004	1	94	Exptl	-40	2900	D	980	1023.98	1026.01	1021.00
660004	1	95	Exptl	-60	2840	C	298	1035.30	1037.33	1033.00
660004	1	96	Exptl	-50	2790	D	697	1047.70	1049.72	1045.00
660004	1	97	Exptl	-240	2550	A	929	1057.93	1059.97	1055.00
660004	1	98	Exptl	-260	2290	B	945	1068.95	1070.98	1066.00
660004	1	99	Exptl	100	2390	D	542	1078.54	1080.57	1076.00
660004	1	100	Exptl	200	2590	B	559	1090.56	1092.59	1088.00
Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66002	1	1	Exptl	90	2090	C	2074	4.08	6.11	0.00
66002	1	2	Exptl	200	2290	A	1003	13.01	15.05	10.00
66002	1	3	Exptl	-40	2250	C	1055	25.06	27.09	22.00
66002	1	4	Exptl	190	2440	B	681	36.68	38.72	34.00
66002	1	5	Exptl	100	2540	D	566	47.57	49.60	45.00
66002	1	6	Exptl	190	2730	A	643	58.64	60.67	56.00
66002	1	7	Exptl	-250	2480	A	1031	70.03	72.07	67.00
66002	1	8	Exptl	100	2580	C	663	79.66	81.69	77.00
66002	1	9	Exptl	90	2670	D	735	89.74	91.77	87.00
66002	1	10	Exptl	-240	2430	B	490	99.49	101.53	97.00
66002	1	11	Exptl	-40	2390	C	624	110.63	112.66	108.00
66002	1	12	Exptl	-50	2340	D	530	122.53	124.56	120.00
66002	1	13	Exptl	210	2550	A	648	134.65	136.69	132.00
66002	1	14	Exptl	200	2750	B	776	145.78	147.80	143.00
66002	1	15	Exptl	110	2860	C	675	156.68	158.70	154.00
66002	1	16	Exptl	110	2970	D	466	168.47	170.51	166.00
66002	1	17	Exptl	90	3060	C	813	178.82	180.85	176.00
66002	1	18	Exptl	-260	2800	B	514	189.52	191.55	187.00
66002	1	19	Exptl	-40	2760	D	574	199.58	201.61	197.00
66002	1	20	Exptl	-240	2520	A	815	211.82	213.85	209.00
