Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67017	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
67017	1	2	Exptl	200	2200	A	686	12.69	14.72	10.00
67017	1	3	Exptl	190	2390	B	689	24.69	26.72	22.00
67017	1	4	Exptl	90	2480	C	644	36.64	38.67	34.00
67017	1	5	Exptl	190	2670	A	678	47.68	49.71	45.00
67017	1	6	Exptl	100	2770	D	946	58.95	60.98	56.00
67017	1	7	Exptl	-250	2520	A	644	69.64	71.67	67.00
67017	1	8	Exptl	-40	2480	C	865	79.87	81.89	77.00
67017	1	9	Exptl	-240	2240	B	1109	90.11	92.13	87.00
67017	1	10	Exptl	100	2340	C	1298	100.30	102.32	97.00
67017	1	11	Exptl	-40	2300	C	665	110.67	112.69	108.00
67017	1	12	Exptl	90	2390	D	728	122.73	124.76	120.00
67017	1	13	Exptl	210	2600	A	739	134.74	136.77	132.00
67017	1	14	Exptl	-50	2550	D	942	145.94	147.97	143.00
67017	1	15	Exptl	200	2750	B	528	156.53	158.56	154.00
67017	1	16	Exptl	110	2860	C	564	168.56	170.60	166.00
67017	1	17	Exptl	-240	2620	A	1086	179.09	181.12	176.00
67017	1	18	Exptl	110	2730	D	815	189.82	191.84	187.00
67017	1	19	Exptl	-260	2470	B	702	199.70	201.73	197.00
67017	1	20	Exptl	-40	2430	D	1593	212.59	214.62	209.00
67017	1	21	Exptl	-260	2170	A	865	221.87	223.89	219.00
67017	1	22	Exptl	190	2360	A	799	232.80	234.83	230.00
67017	1	23	Exptl	-260	2100	A	2118	246.12	248.15	242.00
67017	1	24	Exptl	210	2310	B	471	254.47	256.51	252.00
67017	1	25	Exptl	90	2400	C	1594	265.59	267.63	262.00
67017	1	26	Exptl	90	2490	D	2648	277.65	279.68	273.00
67017	1	27	Exptl	210	2700	B	1019	288.02	290.05	285.00
67017	1	28	Exptl	-60	2640	C	538	297.54	299.56	295.00
67017	1	29	Exptl	210	2850	A	532	309.53	311.56	307.00
67017	1	30	Exptl	110	2960	C	614	320.61	322.64	318.00
67017	1	31	Exptl	-260	2700	B	625	330.63	332.66	328.00
67017	1	32	Exptl	-60	2640	D	1174	341.17	343.20	338.00
67017	1	33	Exptl	-240	2400	A	1344	351.34	353.37	348.00
67017	1	34	Exptl	190	2590	B	564	362.56	364.59	360.00
67017	1	35	Exptl	-60	2530	C	519	372.52	374.55	370.00
67017	1	36	Exptl	-250	2280	B	487	383.49	385.52	381.00
67017	1	37	Exptl	-240	2040	A	1978	395.98	398.01	392.00
67017	1	38	Exptl	190	2230	A	1261	407.26	409.29	404.00
67017	1	39	Exptl	210	2440	A	832	417.83	419.86	415.00
67017	1	40	Exptl	-240	2200	B	711	427.71	429.74	425.00
67017	1	41	Exptl	200	2400	B	468	438.47	440.49	436.00
67017	1	42	Exptl	-50	2350	C	619	449.62	451.65	447.00
67017	1	43	Exptl	-40	2310	D	862	461.86	463.88	459.00
67017	1	44	Exptl	210	2520	B	471	473.47	475.51	471.00
67017	1	45	Exptl	100	2620	C	1214	484.21	486.24	481.00
67017	1	46	Exptl	110	2730	D	728	495.73	497.76	493.00
67017	1	47	Exptl	-60	2670	D	1319	507.32	509.35	504.00
67017	1	48	Exptl	-260	2410	A	804	518.80	520.84	516.00
67017	1	49	Exptl	210	2620	A	777	528.78	530.81	526.00
67017	1	50	Exptl	190	2810	B	449	540.45	542.48	538.00
67017	1	51	Exptl	110	2920	C	729	551.73	553.75	549.00
67017	1	52	Exptl	90	3010	D	758	563.76	565.79	561.00
67017	1	53	Exptl	-40	2970	C	640	573.64	575.66	571.00
67017	1	54	Exptl	110	3080	D	952	585.95	587.98	583.00
67017	1	55	Exptl	-60	3020	C	604	595.60	597.64	593.00
67017	1	56	Exptl	190	3210	A	623	606.63	608.65	604.00
67017	1	57	Exptl	-260	2950	B	803	616.80	618.83	614.00
67017	1	58	Exptl	200	3150	A	822	628.82	630.86	626.00
67017	1	59	Exptl	-260	2890	B	709	639.71	641.74	637.00
67017	1	60	Exptl	-260	2630	A	814	650.81	652.85	648.00
67017	1	61	Exptl	-240	2390	A	892	662.89	664.92	660.00
67017	1	62	Exptl	-250	2140	A	813	672.81	674.84	670.00
67017	1	63	Exptl	-240	1900	B	684	684.68	686.71	682.00
67017	1	64	Exptl	190	2090	A	880	696.88	698.92	694.00
67017	1	65	Exptl	-240	1850	A	733	707.73	709.77	705.00
67017	1	66	Exptl	-60	1790	D	1467	719.47	721.49	716.00
67017	1	67	Exptl	210	2000	A	959	729.96	731.98	727.00
67017	1	68	Exptl	210	2210	B	591	739.59	741.62	737.00
67017	1	69	Exptl	-40	2170	C	498	749.50	751.53	747.00
67017	1	70	Exptl	-60	2110	D	1369	760.37	762.40	757.00
67017	1	71	Exptl	90	2200	C	646	770.65	772.67	768.00
67017	1	72	Exptl	110	2310	C	1073	783.07	785.11	780.00
67017	1	73	Exptl	-50	2260	C	975	792.98	795.00	790.00
67017	1	74	Exptl	90	2350	D	596	804.60	806.62	802.00
67017	1	75	Exptl	-260	2090	A	813	814.81	816.84	812.00
67017	1	76	Exptl	110	2200	D	805	825.81	827.83	823.00
67017	1	77	Exptl	-40	2160	D	1844	836.84	838.87	833.00
67017	1	78	Exptl	90	2250	C	453	847.45	849.49	845.00
67017	1	79	Exptl	-60	2190	C	561	858.56	860.59	856.00
67017	1	80	Exptl	210	2400	A	526	869.53	871.56	867.00
67017	1	81	Exptl	190	2590	A	757	881.76	883.78	879.00
67017	1	82	Exptl	100	2690	D	722	891.72	893.76	889.00
67017	1	83	Exptl	-40	2650	D	936	903.94	905.96	901.00
67017	1	84	Exptl	100	2750	C	516	915.52	917.55	913.00
67017	1	85	Exptl	-260	2490	A	529	926.53	928.55	924.00
67017	1	86	Exptl	0	2490	None	.	939.00	941.00	934.00
67017	1	87	Exptl	110	2600	C	385	947.39	949.41	945.00
67017	1	88	Exptl	-250	2350	B	433	957.43	959.47	955.00
67017	1	89	Exptl	-50	2300	D	832	968.83	970.86	966.00
67017	1	90	Exptl	200	2500	A	366	978.37	980.40	976.00
67017	1	91	Exptl	-240	2260	A	608	989.61	991.63	987.00
67017	1	92	Exptl	190	2450	B	571	1000.57	1002.61	998.00
67017	1	93	Exptl	-40	2410	C	773	1012.77	1014.81	1010.00
67017	1	94	Exptl	-250	2160	A	389	1023.39	1025.41	1021.00
67017	1	95	Exptl	-60	2100	D	629	1035.63	1037.65	1033.00
67017	1	96	Exptl	-60	2040	C	366	1047.37	1049.39	1045.00
67017	1	97	Exptl	200	2240	A	355	1057.36	1059.38	1055.00
67017	1	98	Exptl	190	2430	A	353	1068.35	1070.38	1066.00
67017	1	99	Exptl	210	2640	A	1116	1079.12	1081.14	1076.00
67017	1	100	Exptl	90	2730	D	892	1090.89	1092.93	1088.00
