Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66018	1	1	Exptl	200	2200	A	2779	4.78	6.82	0.00
66018	1	2	Exptl	190	2390	B	1281	13.28	15.31	10.00
66018	1	3	Exptl	190	2580	A	1066	25.07	27.10	22.00
66018	1	4	Exptl	90	2670	C	844	36.84	38.87	34.00
66018	1	5	Exptl	100	2770	D	1118	48.12	50.14	45.00
66018	1	6	Exptl	-240	2530	B	798	58.80	60.84	56.00
66018	1	7	Exptl	-250	2280	A	770	69.77	71.80	67.00
66018	1	8	Exptl	210	2490	A	653	79.65	81.67	77.00
66018	1	9	Exptl	-240	2250	A	599	89.60	91.63	87.00
66018	1	10	Exptl	-260	1990	A	649	99.65	101.67	97.00
66018	1	11	Exptl	200	2190	B	723	110.72	112.76	108.00
66018	1	12	Exptl	-260	1930	B	959	122.96	124.98	120.00
66018	1	13	Exptl	-40	1890	C	596	134.60	136.62	132.00
66018	1	14	Exptl	100	1990	C	869	145.87	147.90	143.00
66018	1	15	Exptl	90	2080	D	904	156.90	158.94	154.00
66018	1	16	Exptl	190	2270	A	1086	169.09	171.11	166.00
66018	1	17	Exptl	-50	2220	D	872	178.87	180.90	176.00
66018	1	18	Exptl	210	2430	B	1154	190.15	192.18	187.00
66018	1	19	Exptl	-40	2390	C	60	199.06	201.08	197.00
66018	1	20	Exptl	110	2500	D	939	211.94	213.96	209.00
66018	1	21	Exptl	-260	2240	A	1177	222.18	224.21	219.00
66018	1	22	Exptl	210	2450	A	5	232.01	234.03	230.00
66018	1	23	Exptl	210	2660	B	838	244.84	246.88	242.00
66018	1	24	Exptl	110	2770	C	683	254.68	256.72	252.00
66018	1	25	Exptl	0	2770	None	.	267.00	269.00	262.00
66018	1	26	Exptl	-40	2730	D	774	275.77	277.81	273.00
66018	1	27	Exptl	90	2820	D	759	287.76	289.80	285.00
66018	1	28	Exptl	-240	2580	A	762	297.76	299.79	295.00
66018	1	29	Exptl	-240	2340	A	485	309.49	311.51	307.00
66018	1	30	Exptl	190	2530	A	696	320.70	322.73	318.00
66018	1	31	Exptl	210	2740	A	566	330.57	332.60	328.00
