Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66019000	1	1	Exptl	90	2090	C	950	2.95	4.98	0.00
66019000	1	2	Exptl	100	2190	D	1072	13.07	15.10	10.00
66019000	1	3	Exptl	190	2380	B	639	24.64	26.67	22.00
66019000	1	4	Exptl	200	2580	A	617	36.62	38.64	34.00
66019000	1	5	Exptl	-40	2540	C	670	47.67	49.69	45.00
66019000	1	6	Exptl	190	2730	A	674	58.67	60.70	56.00
66019000	1	7	Exptl	100	2830	C	1285	70.29	72.32	67.00
66019000	1	8	Exptl	90	2920	D	872	79.88	81.91	77.00
66019000	1	9	Exptl	-240	2680	B	593	89.59	91.62	87.00
66019000	1	10	Exptl	-40	2640	C	1066	100.07	102.09	97.00
66019000	1	11	Exptl	200	2840	B	1252	111.25	113.28	108.00
66019000	1	12	Exptl	-50	2790	D	1536	123.54	125.56	120.00
66019000	1	13	Exptl	-250	2540	A	648	134.65	136.68	132.00
66019000	1	14	Exptl	210	2750	A	941	145.94	147.97	143.00
66019000	1	15	Exptl	110	2860	C	589	156.59	158.61	154.00
66019000	1	16	Exptl	110	2970	D	813	168.81	170.85	166.00
66019000	1	17	Exptl	-260	2710	B	1544	179.54	181.57	176.00
66019000	1	18	Exptl	-40	2670	D	874	189.87	191.91	187.00
66019000	1	19	Exptl	-240	2430	A	830	199.83	201.86	197.00
66019000	1	20	Exptl	-260	2170	A	1095	212.10	214.12	209.00
66019000	1	21	Exptl	190	2360	A	2101	223.10	225.12	219.00
66019000	1	22	Exptl	210	2570	B	1132	233.13	235.16	230.00
66019000	1	23	Exptl	90	2660	C	677	244.68	246.70	242.00
66019000	1	24	Exptl	90	2750	D	659	254.66	256.69	252.00
66019000	1	25	Exptl	210	2960	B	520	264.52	266.55	262.00
66019000	1	26	Exptl	-60	2900	C	1044	276.04	278.07	273.00
66019000	1	27	Exptl	-60	2840	D	391	287.39	289.42	285.00
66019000	1	28	Exptl	-40	2800	D	1827	298.83	300.86	295.00
66019000	1	29	Exptl	110	2910	D	1442	310.44	312.48	307.00
66019000	1	30	Exptl	-60	2850	D	2138	322.14	324.17	318.00
66019000	1	31	Exptl	-260	2590	B	1479	331.48	333.51	328.00
66019000	1	32	Exptl	190	2780	B	612	340.61	342.65	338.00
66019000	1	33	Exptl	110	2890	C	771	350.77	352.80	348.00
66019000	1	34	Exptl	-250	2640	B	1529	363.53	365.56	360.00
66019000	1	35	Exptl	-60	2580	C	863	372.86	374.90	370.00
66019000	1	36	Exptl	-260	2320	A	566	383.57	385.60	381.00
66019000	1	37	Exptl	210	2530	A	492	394.50	396.54	392.00
66019000	1	38	Exptl	-240	2290	B	621	406.62	408.64	404.00
66019000	1	39	Exptl	-50	2240	C	1462	418.46	420.50	415.00
66019000	1	40	Exptl	200	2440	B	1312	428.31	430.34	425.00
66019000	1	41	Exptl	90	2530	D	1446	439.45	441.47	436.00
66019000	1	42	Exptl	-240	2290	A	1804	450.81	452.83	447.00
66019000	1	43	Exptl	-240	2050	A	525	461.53	463.55	459.00
66019000	1	44	Exptl	100	2150	C	892	473.89	475.92	471.00
66019000	1	45	Exptl	110	2260	C	1205	484.21	486.23	481.00
66019000	1	46	Exptl	-40	2220	C	1822	496.82	498.85	493.00
66019000	1	47	Exptl	110	2330	D	544	506.54	508.57	504.00
66019000	1	48	Exptl	-60	2270	D	962	518.96	520.99	516.00
66019000	1	49	Exptl	-60	2210	D	1006	529.01	531.03	526.00
66019000	1	50	Exptl	90	2300	D	759	540.76	542.78	538.00
66019000	1	51	Exptl	210	2510	B	1487	552.49	554.52	549.00
66019000	1	52	Exptl	-60	2450	C	1179	564.18	566.21	561.00
66019000	1	53	Exptl	190	2640	A	1246	574.25	576.28	571.00
66019000	1	54	Exptl	110	2750	D	1470	586.47	588.50	583.00
66019000	1	55	Exptl	190	2940	B	730	595.73	597.76	593.00
66019000	1	56	Exptl	0	2940	None	.	609.00	611.00	604.00
66019000	1	57	Exptl	-40	2900	C	498	616.50	618.53	614.00
66019000	1	58	Exptl	210	3110	A	401	628.40	630.44	626.00
66019000	1	59	Exptl	-260	2850	B	244	639.24	641.28	637.00
66019000	1	60	Exptl	90	2940	C	604	650.60	652.63	648.00
66019000	1	61	Exptl	-260	2680	A	668	662.67	664.70	660.00
66019000	1	62	Exptl	-40	2640	D	505	672.51	674.54	670.00
66019000	1	63	Exptl	110	2750	C	393	684.39	686.43	682.00
66019000	1	64	Exptl	-50	2700	C	522	696.52	698.55	694.00
66019000	1	65	Exptl	-260	2440	B	293	707.29	709.32	705.00
66019000	1	66	Exptl	100	2540	D	610	718.61	720.64	716.00
66019000	1	67	Exptl	90	2630	C	761	729.76	731.80	727.00
66019000	1	68	Exptl	210	2840	A	848	739.85	741.89	737.00
66019000	1	69	Exptl	0	2840	None	.	752.00	754.00	747.00
66019000	1	70	Exptl	-60	2780	C	305	759.31	761.33	757.00
66019000	1	71	Exptl	-40	2740	D	360	770.36	772.39	768.00
66019000	1	72	Exptl	-240	2500	B	452	782.45	784.49	780.00
66019000	1	73	Exptl	190	2690	A	432	792.43	794.46	790.00
66019000	1	74	Exptl	-50	2640	D	793	804.79	806.81	802.00
66019000	1	75	Exptl	210	2850	B	510	814.51	816.54	812.00
66019000	1	76	Exptl	-250	2600	B	391	825.39	827.43	823.00
66019000	1	77	Exptl	100	2700	C	883	835.88	837.92	833.00
66019000	1	78	Exptl	-60	2640	D	514	847.51	849.54	845.00
66019000	1	79	Exptl	190	2830	B	321	858.32	860.36	856.00
66019000	1	80	Exptl	200	3030	A	373	869.37	871.40	867.00
66019000	1	81	Exptl	90	3120	D	748	881.75	883.78	879.00
66019000	1	82	Exptl	110	3230	C	980	891.98	894.01	889.00
66019000	1	83	Exptl	-240	2990	B	404	903.40	905.43	901.00
66019000	1	84	Exptl	-40	2950	C	238	915.24	917.26	913.00
66019000	1	85	Exptl	110	3060	D	589	926.59	928.62	924.00
66019000	1	86	Exptl	-260	2800	B	312	936.31	938.34	934.00
66019000	1	87	Exptl	200	3000	B	321	947.32	949.34	945.00
66019000	1	88	Exptl	-60	2940	C	251	957.25	959.28	955.00
66019000	1	89	Exptl	210	3150	B	265	968.27	970.29	966.00
66019000	1	90	Exptl	90	3240	C	182	978.18	980.21	976.00
66019000	1	91	Exptl	-60	3180	D	936	989.94	991.97	987.00
66019000	1	92	Exptl	-260	2920	A	1628	1001.63	1003.65	998.00
66019000	1	93	Exptl	190	3110	B	491	1012.49	1014.53	1010.00
66019000	1	94	Exptl	-40	3070	C	493	1023.49	1025.51	1021.00
66019000	1	95	Exptl	90	3160	D	547	1035.55	1037.58	1033.00
66019000	1	96	Exptl	-240	2920	A	730	1047.73	1049.75	1045.00
66019000	1	97	Exptl	-250	2670	A	404	1057.40	1059.43	1055.00
66019000	1	98	Exptl	190	2860	A	426	1068.43	1070.45	1066.00
66019000	1	99	Exptl	-260	2600	B	447	1078.45	1080.47	1076.00
66019000	1	100	Exptl	-50	2550	C	279	1090.28	1092.31	1088.00
