Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66013	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
66013	1	2	Exptl	200	2200	A	621	12.62	14.66	10.00
66013	1	3	Exptl	100	2300	D	1250	25.25	27.29	22.00
66013	1	4	Exptl	190	2490	B	1148	37.15	39.18	34.00
66013	1	5	Exptl	90	2580	C	1137	48.14	50.18	45.00
66013	1	6	Exptl	190	2770	A	1340	59.34	61.38	56.00
66013	1	7	Exptl	90	2860	D	763	69.76	71.80	67.00
66013	1	8	Exptl	-250	2610	A	1132	80.13	82.17	77.00
66013	1	9	Exptl	210	2820	A	834	89.84	91.87	87.00
66013	1	10	Exptl	-240	2580	A	1993	100.99	103.02	97.00
66013	1	11	Exptl	-260	2320	A	1213	111.21	113.25	108.00
66013	1	12	Exptl	190	2510	A	559	122.56	124.60	120.00
66013	1	13	Exptl	-40	2470	C	891	134.89	136.92	132.00
66013	1	14	Exptl	-260	2210	A	981	145.98	148.02	143.00
66013	1	15	Exptl	-50	2160	D	1218	157.22	159.26	154.00
66013	1	16	Exptl	100	2260	C	1310	169.31	171.35	166.00
66013	1	17	Exptl	-240	2020	B	1423	179.42	181.46	176.00
66013	1	18	Exptl	110	2130	D	1356	190.36	192.39	187.00
66013	1	19	Exptl	210	2340	A	1296	200.30	202.33	197.00
66013	1	20	Exptl	200	2540	B	1073	212.08	214.12	209.00
66013	1	21	Exptl	-40	2500	C	1126	222.13	224.16	219.00
66013	1	22	Exptl	-40	2460	D	1033	233.03	235.07	230.00
66013	1	23	Exptl	90	2550	D	725	244.73	246.76	242.00
66013	1	24	Exptl	110	2660	C	904	254.91	256.94	252.00
66013	1	25	Exptl	-60	2600	D	1524	265.53	267.57	262.00
66013	1	26	Exptl	-260	2340	B	1883	276.89	278.92	273.00
66013	1	27	Exptl	-240	2100	A	1065	288.07	290.10	285.00
66013	1	28	Exptl	-240	1860	A	1058	298.06	300.09	295.00
66013	1	29	Exptl	190	2050	A	871	309.87	311.91	307.00
66013	1	30	Exptl	90	2140	C	1021	321.02	323.06	318.00
66013	1	31	Exptl	210	2350	A	845	330.85	332.89	328.00
66013	1	32	Exptl	-40	2310	D	699	340.70	342.74	338.00
66013	1	33	Exptl	-60	2250	C	886	350.89	352.92	348.00
66013	1	34	Exptl	110	2360	C	952	362.95	364.99	360.00
66013	1	35	Exptl	-260	2100	A	863	372.87	374.90	370.00
66013	1	36	Exptl	210	2310	A	745	383.75	385.78	381.00
66013	1	37	Exptl	110	2420	D	1101	395.10	397.13	392.00
66013	1	38	Exptl	-60	2360	D	1297	407.30	409.34	404.00
66013	1	39	Exptl	90	2450	D	909	417.91	419.95	415.00
66013	1	40	Exptl	110	2560	D	1866	428.87	430.90	425.00
