Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66012	1	1	Exptl	200	2200	A	1440	3.44	5.47	0.00
66012	1	2	Exptl	190	2390	B	1033	13.03	15.07	10.00
66012	1	3	Exptl	90	2480	C	649	24.65	26.67	22.00
66012	1	4	Exptl	100	2580	D	956	36.96	38.98	34.00
66012	1	5	Exptl	-240	2340	B	919	47.92	49.95	45.00
66012	1	6	Exptl	-40	2300	C	653	58.65	60.68	56.00
66012	1	7	Exptl	90	2390	D	1048	70.05	72.08	67.00
66012	1	8	Exptl	190	2580	A	704	79.70	81.74	77.00
66012	1	9	Exptl	-250	2330	A	879	89.88	91.91	87.00
66012	1	10	Exptl	200	2530	B	725	99.73	101.75	97.00
66012	1	11	Exptl	-50	2480	D	677	110.68	112.70	108.00
66012	1	12	Exptl	100	2580	C	799	122.80	124.82	120.00
66012	1	13	Exptl	-260	2320	B	817	134.82	136.85	132.00
66012	1	14	Exptl	110	2430	D	876	145.88	147.91	143.00
66012	1	15	Exptl	-40	2390	C	785	156.79	158.81	154.00
66012	1	16	Exptl	210	2600	A	797	168.80	170.83	166.00
66012	1	17	Exptl	-40	2560	D	739	178.74	180.77	176.00
66012	1	18	Exptl	110	2670	C	877	189.88	191.91	187.00
66012	1	19	Exptl	210	2880	B	1048	200.05	202.08	197.00
66012	1	20	Exptl	-240	2640	A	800	211.80	213.84	209.00
66012	1	21	Exptl	210	2850	B	929	221.93	223.96	219.00
66012	1	22	Exptl	-260	2590	B	639	232.64	234.68	230.00
66012	1	23	Exptl	90	2680	C	756	244.76	246.78	242.00
66012	1	24	Exptl	-260	2420	A	853	254.85	256.88	252.00
66012	1	25	Exptl	90	2510	D	748	264.75	266.78	262.00
66012	1	26	Exptl	-60	2450	D	849	275.85	277.88	273.00
66012	1	27	Exptl	-60	2390	C	871	287.87	289.91	285.00
66012	1	28	Exptl	190	2580	B	737	297.74	299.76	295.00
66012	1	29	Exptl	190	2770	A	776	309.78	311.80	307.00
66012	1	30	Exptl	-250	2520	B	879	320.88	322.90	318.00
66012	1	31	Exptl	110	2630	C	1414	331.41	333.45	328.00
66012	1	32	Exptl	-40	2590	D	1094	341.09	343.12	338.00
66012	1	33	Exptl	110	2700	D	962	350.96	352.99	348.00
66012	1	34	Exptl	-60	2640	C	678	362.68	364.71	360.00
66012	1	35	Exptl	-240	2400	B	983	372.98	375.01	370.00
66012	1	36	Exptl	-260	2140	A	844	383.84	385.87	381.00
66012	1	37	Exptl	-60	2080	D	797	394.80	396.82	392.00
66012	1	38	Exptl	90	2170	D	667	406.67	408.69	404.00
66012	1	39	Exptl	200	2370	B	931	417.93	419.96	415.00
66012	1	40	Exptl	-50	2320	C	634	427.63	429.67	425.00
66012	1	41	Exptl	210	2530	A	748	438.75	440.78	436.00
66012	1	42	Exptl	210	2740	B	767	449.77	451.80	447.00
66012	1	43	Exptl	110	2850	D	781	461.78	463.80	459.00
66012	1	44	Exptl	100	2950	C	1101	474.10	476.13	471.00
66012	1	45	Exptl	110	3060	C	892	483.89	485.92	481.00
66012	1	46	Exptl	190	3250	B	857	495.86	497.89	493.00
66012	1	47	Exptl	-60	3190	D	841	506.84	508.87	504.00
66012	1	48	Exptl	-240	2950	A	928	518.93	520.96	516.00
66012	1	49	Exptl	-260	2690	B	893	528.89	530.92	526.00
66012	1	50	Exptl	-40	2650	C	715	540.72	542.74	538.00
66012	1	51	Exptl	-60	2590	D	914	551.91	553.94	549.00
66012	1	52	Exptl	90	2680	D	884	563.88	565.92	561.00
66012	1	53	Exptl	-60	2620	C	984	573.98	576.01	571.00
66012	1	54	Exptl	-260	2360	B	1211	586.21	588.23	583.00
66012	1	55	Exptl	-240	2120	A	1594	596.59	598.63	593.00
66012	1	56	Exptl	110	2230	D	705	606.71	608.74	604.00
66012	1	57	Exptl	190	2420	A	775	616.78	618.81	614.00
66012	1	58	Exptl	-40	2380	D	804	628.80	630.83	626.00
66012	1	59	Exptl	210	2590	A	833	639.83	641.87	637.00
66012	1	60	Exptl	100	2690	D	700	650.70	652.73	648.00
66012	1	61	Exptl	-240	2450	B	972	662.97	665.01	660.00
66012	1	62	Exptl	-40	2410	C	636	672.64	674.66	670.00
66012	1	63	Exptl	-260	2150	A	916	684.92	686.95	682.00
66012	1	64	Exptl	90	2240	C	625	696.63	698.66	694.00
66012	1	65	Exptl	210	2450	B	711	707.71	709.74	705.00
66012	1	66	Exptl	-40	2410	D	1321	719.32	721.34	716.00
66012	1	67	Exptl	-250	2160	B	1041	730.04	732.07	727.00
66012	1	68	Exptl	110	2270	C	618	739.62	741.65	737.00
66012	1	69	Exptl	210	2480	A	796	749.80	751.82	747.00
66012	1	70	Exptl	190	2670	A	692	759.69	761.73	757.00
66012	1	71	Exptl	200	2870	A	684	770.68	772.71	768.00
66012	1	72	Exptl	190	3060	B	716	782.72	784.75	780.00
66012	1	73	Exptl	-260	2800	A	673	792.67	794.71	790.00
66012	1	74	Exptl	-240	2560	B	688	804.69	806.71	802.00
66012	1	75	Exptl	-50	2510	D	1169	815.17	817.19	812.00
66012	1	76	Exptl	-240	2270	A	714	825.71	827.74	823.00
66012	1	77	Exptl	-260	2010	B	763	835.76	837.80	833.00
66012	1	78	Exptl	-50	1960	C	703	847.70	849.73	845.00
66012	1	79	Exptl	-60	1900	D	708	858.71	860.73	856.00
66012	1	80	Exptl	90	1990	D	688	869.69	871.72	867.00
66012	1	81	Exptl	200	2190	B	924	881.92	883.96	879.00
66012	1	82	Exptl	-250	1940	A	759	891.76	893.80	889.00
66012	1	83	Exptl	90	2030	C	602	903.60	905.64	901.00
66012	1	84	Exptl	190	2220	A	834	915.83	917.86	913.00
66012	1	85	Exptl	-60	2160	C	1568	927.57	929.60	924.00
66012	1	86	Exptl	210	2370	B	945	936.95	938.97	934.00
66012	1	87	Exptl	-240	2130	A	685	947.69	949.71	945.00
66012	1	88	Exptl	210	2340	A	769	957.77	959.79	955.00
66012	1	89	Exptl	-260	2080	A	1071	969.07	971.11	966.00
66012	1	90	Exptl	210	2290	A	680	978.68	980.71	976.00
66012	1	91	Exptl	190	2480	B	670	989.67	991.69	987.00
66012	1	92	Exptl	-260	2220	B	741	1000.74	1002.78	998.00
66012	1	93	Exptl	-240	1980	B	816	1012.82	1014.85	1010.00
66012	1	94	Exptl	210	2190	B	1070	1024.07	1026.10	1021.00
66012	1	95	Exptl	100	2290	C	905	1035.91	1037.94	1033.00
66012	1	96	Exptl	-250	2040	B	761	1047.76	1049.79	1045.00
66012	1	97	Exptl	110	2150	D	904	1057.90	1059.94	1055.00
66012	1	98	Exptl	190	2340	A	797	1068.80	1070.82	1066.00
66012	1	99	Exptl	-60	2280	D	1147	1079.15	1081.18	1076.00
66012	1	100	Exptl	110	2390	C	2241	1092.24	1094.28	1088.00
