Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68019	1	1	Exptl	200	2200	A	845	2.85	4.87	0.00
68019	1	2	Exptl	190	2390	A	609	12.61	14.64	10.00
68019	1	3	Exptl	190	2580	B	591	24.59	26.61	22.00
68019	1	4	Exptl	-240	2340	B	383	36.38	38.42	34.00
68019	1	5	Exptl	90	2430	C	564	47.56	49.59	45.00
68019	1	6	Exptl	-40	2390	C	699	58.70	60.74	56.00
68019	1	7	Exptl	100	2490	D	646	69.65	71.67	67.00
68019	1	8	Exptl	90	2580	D	468	79.47	81.49	77.00
68019	1	9	Exptl	-50	2530	D	426	89.43	91.45	87.00
68019	1	10	Exptl	-250	2280	A	773	99.77	101.81	97.00
68019	1	11	Exptl	200	2480	B	593	110.59	112.62	108.00
68019	1	12	Exptl	-260	2220	B	640	122.64	124.66	120.00
68019	1	13	Exptl	110	2330	D	682	134.68	136.70	132.00
68019	1	14	Exptl	-40	2290	D	506	145.51	147.53	143.00
68019	1	15	Exptl	90	2380	D	946	156.95	158.97	154.00
68019	1	16	Exptl	-60	2320	D	566	168.57	170.59	166.00
68019	1	17	Exptl	-40	2280	D	562	178.56	180.60	176.00
68019	1	18	Exptl	210	2490	B	485	189.49	191.51	187.00
68019	1	19	Exptl	110	2600	D	540	199.54	201.57	197.00
68019	1	20	Exptl	210	2810	B	426	211.43	213.46	209.00
68019	1	21	Exptl	-260	2550	B	592	221.59	223.62	219.00
68019	1	22	Exptl	190	2740	B	543	232.54	234.57	230.00
68019	1	23	Exptl	-250	2490	B	448	244.45	246.47	242.00
68019	1	24	Exptl	-240	2250	B	617	254.62	256.65	252.00
68019	1	25	Exptl	210	2460	A	874	264.87	266.91	262.00
68019	1	26	Exptl	-240	2220	A	809	275.81	277.84	273.00
68019	1	27	Exptl	-260	1960	A	763	287.76	289.80	285.00
68019	1	28	Exptl	200	2160	B	496	297.50	299.52	295.00
68019	1	29	Exptl	210	2370	B	568	309.57	311.59	307.00
68019	1	30	Exptl	100	2470	C	659	320.66	322.69	318.00
68019	1	31	Exptl	-40	2430	C	593	330.59	332.62	328.00
