Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68018	1	1	Exptl	200	2200	A	1631	3.63	5.66	0.00
68018	1	2	Exptl	100	2300	D	714	12.72	14.75	10.00
68018	1	3	Exptl	90	2390	C	440	24.44	26.47	22.00
68018	1	4	Exptl	190	2580	B	589	36.59	38.63	34.00
68018	1	5	Exptl	190	2770	A	282	47.28	49.32	45.00
68018	1	6	Exptl	0	2770	None	.	61.00	63.00	56.00
68018	1	7	Exptl	-240	2530	B	369	69.37	71.40	67.00
68018	1	8	Exptl	-250	2280	A	702	79.70	81.73	77.00
68018	1	9	Exptl	-40	2240	C	1239	90.24	92.28	87.00
68018	1	10	Exptl	210	2450	A	631	99.63	101.66	97.00
68018	1	11	Exptl	90	2540	D	828	110.83	112.86	108.00
68018	1	12	Exptl	100	2640	C	932	122.93	124.97	120.00
68018	1	13	Exptl	200	2840	B	712	134.71	136.74	132.00
68018	1	14	Exptl	-240	2600	A	858	145.86	147.89	143.00
68018	1	15	Exptl	-260	2340	A	763	156.76	158.81	154.00
68018	1	16	Exptl	-40	2300	C	539	168.54	170.58	166.00
68018	1	17	Exptl	-50	2250	D	1507	179.51	181.54	176.00
68018	1	18	Exptl	190	2440	A	776	189.78	191.80	187.00
68018	1	19	Exptl	110	2550	D	1230	200.23	202.26	197.00
68018	1	20	Exptl	110	2660	C	1430	212.43	214.47	209.00
68018	1	21	Exptl	-260	2400	B	1634	222.64	224.67	219.00
68018	1	22	Exptl	90	2490	C	859	232.86	234.89	230.00
68018	1	23	Exptl	-260	2230	A	640	244.64	246.68	242.00
68018	1	24	Exptl	210	2440	B	2030	256.03	258.06	252.00
68018	1	25	Exptl	-60	2380	C	482	264.48	266.51	262.00
68018	1	26	Exptl	210	2590	A	1052	276.05	278.08	273.00
68018	1	27	Exptl	-40	2550	D	893	287.89	289.94	285.00
68018	1	28	Exptl	110	2660	C	683	297.68	299.73	295.00
68018	1	29	Exptl	90	2750	D	857	309.86	311.90	307.00
68018	1	30	Exptl	-240	2510	A	557	320.56	322.60	318.00
68018	1	31	Exptl	210	2720	B	1463	331.46	333.50	328.00
68018	1	32	Exptl	-60	2660	D	1243	341.24	343.29	338.00
68018	1	33	Exptl	-60	2600	C	2899	352.90	354.94	348.00
68018	1	34	Exptl	-260	2340	B	1509	363.51	365.55	360.00
68018	1	35	Exptl	-240	2100	A	1020	373.02	375.06	370.00
68018	1	36	Exptl	190	2290	A	759	383.76	385.80	381.00
68018	1	37	Exptl	-40	2250	D	522	394.52	396.55	392.00
68018	1	38	Exptl	110	2360	D	746	406.75	408.79	404.00
68018	1	39	Exptl	190	2550	B	748	417.75	419.79	415.00
68018	1	40	Exptl	-50	2500	C	1133	428.13	430.17	425.00
68018	1	41	Exptl	100	2600	C	916	438.92	440.95	436.00
68018	1	42	Exptl	-60	2540	D	1655	450.66	452.68	447.00
68018	1	43	Exptl	90	2630	D	759	461.76	463.80	459.00
68018	1	44	Exptl	210	2840	A	677	473.68	475.71	471.00
68018	1	45	Exptl	-260	2580	A	672	483.67	485.71	481.00
68018	1	46	Exptl	210	2790	A	845	495.85	497.89	493.00
68018	1	47	Exptl	-250	2540	B	765	506.77	508.80	504.00
68018	1	48	Exptl	-240	2300	B	704	518.71	520.74	516.00
68018	1	49	Exptl	110	2410	C	720	528.72	530.75	526.00
68018	1	50	Exptl	190	2600	A	505	540.51	542.54	538.00
68018	1	51	Exptl	110	2710	D	1540	552.54	554.58	549.00
68018	1	52	Exptl	200	2910	B	682	563.68	565.71	561.00
68018	1	53	Exptl	200	3110	A	1363	574.37	576.39	571.00
68018	1	54	Exptl	-40	3070	C	432	585.43	587.47	583.00
68018	1	55	Exptl	-60	3010	C	1143	596.14	598.17	593.00
68018	1	56	Exptl	-40	2970	C	647	606.65	608.68	604.00
68018	1	57	Exptl	210	3180	B	658	616.66	618.69	614.00
68018	1	58	Exptl	-60	3120	D	2610	630.61	632.65	626.00
68018	1	59	Exptl	-260	2860	A	516	639.52	641.55	637.00
68018	1	60	Exptl	90	2950	C	1622	651.62	653.65	648.00
68018	1	61	Exptl	190	3140	B	1104	663.11	665.14	660.00
68018	1	62	Exptl	-60	3080	D	1850	673.85	675.88	670.00
68018	1	63	Exptl	-240	2840	A	902	684.90	686.93	682.00
68018	1	64	Exptl	-260	2580	B	661	696.66	698.69	694.00
68018	1	65	Exptl	90	2670	D	357	707.36	709.38	705.00
68018	1	66	Exptl	110	2780	C	744	718.75	720.79	716.00
68018	1	67	Exptl	-260	2520	B	1229	730.23	732.26	727.00
68018	1	68	Exptl	0	2520	None	.	742.00	744.00	737.00
68018	1	69	Exptl	-250	2270	A	1384	750.39	752.42	747.00
68018	1	70	Exptl	-240	2030	B	955	759.96	761.99	757.00
68018	1	71	Exptl	190	2220	A	787	770.79	772.83	768.00
68018	1	72	Exptl	110	2330	D	737	782.74	784.76	780.00
68018	1	73	Exptl	-50	2280	C	1740	793.74	795.78	790.00
68018	1	74	Exptl	-240	2040	A	748	804.75	806.78	802.00
68018	1	75	Exptl	210	2250	B	1246	815.25	817.27	812.00
68018	1	76	Exptl	-40	2210	D	1602	826.60	828.64	823.00
68018	1	77	Exptl	90	2300	C	811	835.81	837.84	833.00
68018	1	78	Exptl	-250	2050	B	804	847.81	849.83	845.00
68018	1	79	Exptl	-60	1990	C	960	858.96	861.00	856.00
68018	1	80	Exptl	100	2090	D	781	869.78	871.81	867.00
68018	1	81	Exptl	-40	2050	D	1119	882.12	884.16	879.00
68018	1	82	Exptl	190	2240	B	1097	892.10	894.13	889.00
68018	1	83	Exptl	210	2450	A	1137	904.14	906.17	901.00
68018	1	84	Exptl	-50	2400	D	1030	916.03	918.06	913.00
68018	1	85	Exptl	-260	2140	A	769	926.77	928.81	924.00
68018	1	86	Exptl	100	2240	C	450	936.45	938.48	934.00
68018	1	87	Exptl	-60	2180	D	663	947.67	949.70	945.00
68018	1	88	Exptl	-240	1940	B	492	957.49	959.52	955.00
68018	1	89	Exptl	210	2150	A	1582	969.58	971.61	966.00
68018	1	90	Exptl	90	2240	D	1000	979.00	981.03	976.00
68018	1	91	Exptl	-260	1980	B	1018	990.02	992.05	987.00
68018	1	92	Exptl	110	2090	C	988	1000.99	1003.03	998.00
68018	1	93	Exptl	190	2280	A	933	1012.93	1014.97	1010.00
68018	1	94	Exptl	200	2480	B	1120	1024.12	1026.15	1021.00
68018	1	95	Exptl	-40	2440	C	1015	1036.02	1038.06	1033.00
