Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
69009	1	1	Exptl	200	2200	A	2376	4.38	6.42	0.00
69009	1	2	Exptl	100	2300	D	977	12.98	15.01	10.00
69009	1	3	Exptl	190	2490	A	473	24.47	26.52	22.00
69009	1	4	Exptl	90	2580	C	661	36.66	38.69	34.00
69009	1	5	Exptl	90	2670	D	788	47.79	49.82	45.00
69009	1	6	Exptl	190	2860	B	1029	59.03	61.06	56.00
69009	1	7	Exptl	-240	2620	B	1225	70.23	72.26	67.00
69009	1	8	Exptl	-250	2370	A	653	79.65	81.70	77.00
69009	1	9	Exptl	210	2580	A	584	89.59	91.62	87.00
69009	1	10	Exptl	-50	2530	D	801	99.80	101.83	97.00
69009	1	11	Exptl	-240	2290	A	621	110.62	112.66	108.00
69009	1	12	Exptl	200	2490	B	602	122.60	124.63	120.00
69009	1	13	Exptl	-260	2230	B	1266	135.27	137.29	132.00
69009	1	14	Exptl	-260	1970	A	626	145.63	147.65	143.00
69009	1	15	Exptl	110	2080	D	687	156.69	158.72	154.00
69009	1	16	Exptl	-40	2040	C	578	168.58	170.61	166.00
69009	1	17	Exptl	190	2230	A	627	178.63	180.67	176.00
69009	1	18	Exptl	210	2440	B	617	189.62	191.65	187.00
69009	1	19	Exptl	100	2540	C	665	199.67	201.71	197.00
69009	1	20	Exptl	-40	2500	D	898	211.90	213.93	209.00
69009	1	21	Exptl	90	2590	D	981	221.98	224.01	219.00
69009	1	22	Exptl	-40	2550	C	751	232.75	234.79	230.00
69009	1	23	Exptl	-60	2490	D	977	244.98	247.01	242.00
69009	1	24	Exptl	110	2600	C	1134	255.14	257.17	252.00
69009	1	25	Exptl	210	2810	B	729	264.73	266.76	262.00
69009	1	26	Exptl	-260	2550	A	792	275.79	277.83	273.00
69009	1	27	Exptl	210	2760	A	826	287.83	289.87	285.00
69009	1	28	Exptl	-40	2720	D	900	297.90	299.94	295.00
69009	1	29	Exptl	90	2810	C	737	309.74	311.78	307.00
69009	1	30	Exptl	-260	2550	B	602	320.60	322.64	318.00
69009	1	31	Exptl	190	2740	B	634	330.64	332.67	328.00
69009	1	32	Exptl	-240	2500	A	829	340.83	342.86	338.00
69009	1	33	Exptl	110	2610	D	964	350.97	353.00	348.00
69009	1	34	Exptl	-240	2370	A	720	362.72	364.76	360.00
69009	1	35	Exptl	190	2560	A	1347	373.35	375.39	370.00
69009	1	36	Exptl	-60	2500	C	981	383.98	386.02	381.00
69009	1	37	Exptl	-250	2250	B	807	394.81	396.85	392.00
69009	1	38	Exptl	210	2460	A	892	406.89	408.92	404.00
69009	1	39	Exptl	-260	2200	A	862	417.86	419.90	415.00
69009	1	40	Exptl	210	2410	A	1832	428.83	430.87	425.00
69009	1	41	Exptl	-60	2350	D	1194	439.20	441.23	436.00
69009	1	42	Exptl	-240	2110	B	695	449.70	451.73	447.00
69009	1	43	Exptl	110	2220	C	716	461.72	463.75	459.00
69009	1	44	Exptl	190	2410	A	710	473.71	475.74	471.00
69009	1	45	Exptl	200	2610	B	767	483.77	485.80	481.00
69009	1	46	Exptl	90	2700	D	697	495.70	497.74	493.00
69009	1	47	Exptl	-60	2640	C	672	506.67	508.70	504.00
69009	1	48	Exptl	-50	2590	C	725	518.73	520.76	516.00
69009	1	49	Exptl	100	2690	C	1850	529.85	531.89	526.00
69009	1	50	Exptl	200	2890	A	596	540.60	542.64	538.00
69009	1	51	Exptl	210	3100	B	493	551.49	553.54	549.00
69009	1	52	Exptl	110	3210	D	683	563.68	565.73	561.00
69009	1	53	Exptl	-260	2950	A	466	573.47	575.50	571.00
69009	1	54	Exptl	110	3060	C	614	585.62	587.64	583.00
69009	1	55	Exptl	-240	2820	A	589	595.59	597.63	593.00
69009	1	56	Exptl	-250	2570	A	849	606.85	608.88	604.00
69009	1	57	Exptl	190	2760	A	623	616.62	618.66	614.00
69009	1	58	Exptl	-240	2520	A	856	628.86	630.90	626.00
69009	1	59	Exptl	-60	2460	D	810	639.81	641.84	637.00
69009	1	60	Exptl	-40	2420	C	497	650.50	652.52	648.00
69009	1	61	Exptl	210	2630	A	673	662.67	664.72	660.00
69009	1	62	Exptl	-60	2570	C	763	672.76	674.79	670.00
69009	1	63	Exptl	-60	2510	D	711	684.71	686.75	682.00
69009	1	64	Exptl	-40	2470	C	1084	697.09	699.12	694.00
69009	1	65	Exptl	90	2560	D	733	707.73	709.77	705.00
69009	1	66	Exptl	190	2750	B	460	718.46	720.50	716.00
69009	1	67	Exptl	110	2860	D	771	729.77	731.80	727.00
69009	1	68	Exptl	90	2950	C	723	739.72	741.76	737.00
69009	1	69	Exptl	110	3060	C	1010	750.01	752.05	747.00
69009	1	70	Exptl	-260	2800	A	729	759.73	761.76	757.00
69009	1	71	Exptl	210	3010	A	694	770.70	772.72	768.00
69009	1	72	Exptl	-50	2960	C	789	782.79	784.83	780.00
69009	1	73	Exptl	-40	2920	D	744	792.75	794.77	790.00
69009	1	74	Exptl	-260	2660	B	994	805.00	807.03	802.00
69009	1	75	Exptl	100	2760	D	717	814.72	816.75	812.00
69009	1	76	Exptl	190	2950	A	492	825.49	827.53	823.00
69009	1	77	Exptl	-260	2690	A	867	835.87	837.91	833.00
69009	1	78	Exptl	-260	2430	B	610	847.61	849.65	845.00
69009	1	79	Exptl	-40	2390	D	861	858.86	860.90	856.00
69009	1	80	Exptl	200	2590	A	568	869.57	871.61	867.00
69009	1	81	Exptl	-50	2540	D	698	881.70	883.73	879.00
69009	1	82	Exptl	-240	2300	A	1018	892.02	894.06	889.00
69009	1	83	Exptl	-240	2060	B	410	903.41	905.45	901.00
69009	1	84	Exptl	-60	2000	D	1008	916.01	918.04	913.00
69009	1	85	Exptl	-250	1750	A	461	926.46	928.50	924.00
69009	1	86	Exptl	200	1950	A	518	936.52	938.56	934.00
69009	1	87	Exptl	210	2160	B	559	947.56	949.59	945.00
69009	1	88	Exptl	90	2250	D	807	957.81	959.84	955.00
69009	1	89	Exptl	90	2340	C	578	968.58	970.62	966.00
69009	1	90	Exptl	-250	2090	B	581	978.58	980.61	976.00
69009	1	91	Exptl	190	2280	B	553	989.55	991.59	987.00
69009	1	92	Exptl	110	2390	D	921	1000.92	1002.96	998.00
69009	1	93	Exptl	190	2580	A	486	1012.49	1014.53	1010.00
69009	1	94	Exptl	-60	2520	C	582	1023.58	1025.61	1021.00
69009	1	95	Exptl	-60	2460	D	785	1035.79	1037.82	1033.00
69009	1	96	Exptl	90	2550	D	549	1047.55	1049.59	1045.00
69009	1	97	Exptl	100	2650	C	710	1057.71	1059.75	1055.00
69009	1	98	Exptl	-240	2410	B	1256	1069.26	1071.29	1066.00
69009	1	99	Exptl	-260	2150	B	648	1078.65	1080.69	1076.00
69009	1	100	Exptl	200	2350	B	617	1090.62	1092.64	1088.00
