Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67003	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
67003	1	2	Exptl	90	2090	C	396	12.40	14.44	10.00
67003	1	3	Exptl	200	2290	A	417	24.42	26.46	22.00
67003	1	4	Exptl	190	2480	B	371	36.37	38.42	34.00
67003	1	5	Exptl	100	2580	D	613	47.62	49.65	45.00
67003	1	6	Exptl	-240	2340	B	515	58.52	60.55	56.00
67003	1	7	Exptl	190	2530	A	393	69.40	71.43	67.00
67003	1	8	Exptl	90	2620	D	466	79.47	81.51	77.00
67003	1	9	Exptl	-40	2580	C	.	89.00	91.04	87.00
67003	1	10	Exptl	-250	2330	A	675	99.68	101.71	97.00
67003	1	11	Exptl	210	2540	A	639	110.64	112.67	108.00
67003	1	12	Exptl	200	2740	B	676	122.68	124.71	120.00
67003	1	13	Exptl	100	2840	C	313	134.32	136.36	132.00
67003	1	14	Exptl	-240	2600	A	359	145.36	147.40	143.00
67003	1	15	Exptl	-50	2550	D	865	156.87	158.90	154.00
67003	1	16	Exptl	-40	2510	C	486	168.49	170.52	166.00
67003	1	17	Exptl	110	2620	C	553	178.55	180.59	176.00
67003	1	18	Exptl	-260	2360	B	332	189.33	191.37	187.00
67003	1	19	Exptl	210	2570	B	677	199.68	201.72	197.00
67003	1	20	Exptl	-260	2310	A	649	211.65	213.69	209.00
67003	1	21	Exptl	190	2500	A	756	221.76	223.78	219.00
67003	1	22	Exptl	110	2610	D	468	232.47	234.50	230.00
67003	1	23	Exptl	90	2700	C	681	244.68	246.72	242.00
67003	1	24	Exptl	210	2910	B	549	254.55	256.58	252.00
67003	1	25	Exptl	-260	2650	A	436	264.44	266.47	262.00
67003	1	26	Exptl	-40	2610	D	842	275.84	277.87	273.00
67003	1	27	Exptl	-260	2350	B	826	287.83	289.86	285.00
67003	1	28	Exptl	190	2540	B	469	297.47	299.50	295.00
67003	1	29	Exptl	-250	2290	B	354	309.36	311.39	307.00
67003	1	30	Exptl	-60	2230	C	1742	321.74	323.78	318.00
67003	1	31	Exptl	210	2440	A	464	330.47	332.50	328.00
67003	1	32	Exptl	-240	2200	B	452	340.45	342.49	338.00
67003	1	33	Exptl	200	2400	B	486	350.49	352.53	348.00
67003	1	34	Exptl	90	2490	D	543	362.55	364.59	360.00
67003	1	35	Exptl	110	2600	C	454	372.46	374.49	370.00
67003	1	36	Exptl	-240	2360	A	468	383.47	385.51	381.00
67003	1	37	Exptl	-240	2120	A	680	394.68	396.71	392.00
67003	1	38	Exptl	190	2310	A	618	406.62	408.65	404.00
67003	1	39	Exptl	-60	2250	C	631	417.63	419.66	415.00
67003	1	40	Exptl	210	2460	B	2243	429.25	431.28	425.00
67003	1	41	Exptl	-60	2400	D	1007	439.01	441.04	436.00
67003	1	42	Exptl	190	2590	B	370	449.37	451.40	447.00
67003	1	43	Exptl	210	2800	A	671	461.67	463.71	459.00
67003	1	44	Exptl	-50	2750	C	629	473.63	475.66	471.00
67003	1	45	Exptl	-260	2490	B	464	483.47	485.51	481.00
67003	1	46	Exptl	-260	2230	B	446	495.45	497.48	493.00
67003	1	47	Exptl	-240	1990	B	548	506.55	508.58	504.00
67003	1	48	Exptl	-260	1730	A	844	518.85	520.89	516.00
67003	1	49	Exptl	210	1940	A	590	528.59	530.63	526.00
67003	1	50	Exptl	100	2040	C	432	540.43	542.46	538.00
67003	1	51	Exptl	-40	2000	D	707	551.71	553.75	549.00
67003	1	52	Exptl	110	2110	C	505	563.51	565.54	561.00
67003	1	53	Exptl	190	2300	A	493	573.49	575.53	571.00
67003	1	54	Exptl	210	2510	B	712	585.71	587.75	583.00
67003	1	55	Exptl	200	2710	A	866	595.87	597.91	593.00
67003	1	56	Exptl	-40	2670	C	776	606.78	608.81	604.00
67003	1	57	Exptl	-250	2420	B	371	616.37	618.42	614.00
67003	1	58	Exptl	110	2530	D	765	628.77	630.81	626.00
67003	1	59	Exptl	-60	2470	C	680	639.68	641.72	637.00
67003	1	60	Exptl	-260	2210	A	1390	651.39	653.43	648.00
67003	1	61	Exptl	-40	2170	C	1586	663.59	665.62	660.00
67003	1	62	Exptl	190	2360	B	601	672.60	674.64	670.00
67003	1	63	Exptl	-60	2300	D	589	684.59	686.62	682.00
67003	1	64	Exptl	-240	2060	A	970	696.97	699.00	694.00
67003	1	65	Exptl	-250	1810	A	502	707.50	709.55	705.00
67003	1	66	Exptl	90	1900	D	330	718.33	720.36	716.00
67003	1	67	Exptl	190	2090	A	786	729.79	731.83	727.00
67003	1	68	Exptl	90	2180	C	646	739.65	741.69	737.00
67003	1	69	Exptl	-240	1940	B	865	749.87	751.90	747.00
67003	1	70	Exptl	110	2050	C	613	759.62	761.65	757.00
67003	1	71	Exptl	-240	1810	A	352	770.35	772.38	768.00
67003	1	72	Exptl	110	1920	D	427	782.43	784.46	780.00
67003	1	73	Exptl	-50	1870	C	599	792.60	794.63	790.00
67003	1	74	Exptl	-260	1610	B	513	804.52	806.55	802.00
67003	1	75	Exptl	210	1820	A	513	814.51	816.54	812.00
67003	1	76	Exptl	90	1910	C	477	825.48	827.51	823.00
67003	1	77	Exptl	-60	1850	D	455	835.46	837.48	833.00
67003	1	78	Exptl	200	2050	B	1077	848.08	850.11	845.00
67003	1	79	Exptl	-60	1990	C	656	858.66	860.69	856.00
67003	1	80	Exptl	-260	1730	A	769	869.77	871.81	867.00
67003	1	81	Exptl	210	1940	B	457	881.46	883.49	879.00
67003	1	82	Exptl	210	2150	A	835	891.84	893.87	889.00
67003	1	83	Exptl	100	2250	C	727	903.73	905.76	901.00
67003	1	84	Exptl	-60	2190	D	411	915.41	917.45	913.00
67003	1	85	Exptl	110	2300	C	427	926.43	928.46	924.00
67003	1	86	Exptl	190	2490	A	742	936.74	938.77	934.00
67003	1	87	Exptl	190	2680	B	1825	948.83	950.87	945.00
67003	1	88	Exptl	90	2770	D	2836	959.84	961.88	955.00
67003	1	89	Exptl	-40	2730	C	345	968.35	970.38	966.00
67003	1	90	Exptl	-260	2470	A	371	978.37	980.40	976.00
67003	1	91	Exptl	200	2670	A	326	989.33	991.37	987.00
67003	1	92	Exptl	-260	2410	B	419	1000.42	1002.45	998.00
67003	1	93	Exptl	-240	2170	A	1791	1013.79	1015.83	1010.00
67003	1	94	Exptl	-240	1930	B	304	1023.31	1025.34	1021.00
67003	1	95	Exptl	-250	1680	A	744	1035.75	1037.78	1033.00
67003	1	96	Exptl	200	1880	A	356	1047.36	1049.40	1045.00
67003	1	97	Exptl	210	2090	B	390	1057.39	1059.43	1055.00
67003	1	98	Exptl	110	2200	D	404	1068.41	1070.44	1066.00
67003	1	99	Exptl	-60	2140	C	774	1078.78	1080.82	1076.00
67003	1	100	Exptl	-40	2100	D	475	1090.48	1092.51	1088.00
