Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67008	1	1	Exptl	200	2200	A	1275	3.28	5.30	0.00
67008	1	2	Exptl	100	2300	D	723	12.72	14.75	10.00
67008	1	3	Exptl	190	2490	B	748	24.75	26.78	22.00
67008	1	4	Exptl	90	2580	C	991	36.99	39.02	34.00
67008	1	5	Exptl	190	2770	A	858	47.86	49.90	45.00
67008	1	6	Exptl	-250	2520	A	679	58.68	60.72	56.00
67008	1	7	Exptl	90	2610	D	719	69.72	71.75	67.00
67008	1	8	Exptl	210	2820	A	678	79.68	81.70	77.00
67008	1	9	Exptl	-40	2780	C	737	89.74	91.78	87.00
67008	1	10	Exptl	-240	2540	A	651	99.65	101.69	97.00
67008	1	11	Exptl	-50	2490	D	779	110.78	112.82	108.00
67008	1	12	Exptl	-260	2230	A	573	122.57	124.61	120.00
67008	1	13	Exptl	-240	1990	B	693	134.69	136.73	132.00
67008	1	14	Exptl	190	2180	A	979	145.98	148.02	143.00
67008	1	15	Exptl	-260	1920	A	932	156.93	158.97	154.00
67008	1	16	Exptl	110	2030	D	659	168.66	170.70	166.00
67008	1	17	Exptl	100	2130	C	807	178.81	180.85	176.00
67008	1	18	Exptl	-40	2090	C	573	189.57	191.61	187.00
67008	1	19	Exptl	110	2200	C	986	199.99	202.02	197.00
67008	1	20	Exptl	200	2400	B	649	211.65	213.69	209.00
67008	1	21	Exptl	90	2490	C	649	221.65	223.68	219.00
67008	1	22	Exptl	-260	2230	B	714	232.72	234.75	230.00
67008	1	23	Exptl	210	2440	A	623	244.62	246.65	242.00
67008	1	24	Exptl	-240	2200	A	887	254.89	256.93	252.00
67008	1	25	Exptl	-40	2160	D	859	264.86	266.89	262.00
67008	1	26	Exptl	90	2250	D	948	275.95	277.99	273.00
67008	1	27	Exptl	-60	2190	C	525	287.53	289.56	285.00
67008	1	28	Exptl	110	2300	C	994	298.00	300.04	295.00
67008	1	29	Exptl	-60	2240	D	575	309.58	311.61	307.00
67008	1	30	Exptl	-60	2180	C	616	320.62	322.65	318.00
67008	1	31	Exptl	-50	2130	C	645	330.65	332.68	328.00
67008	1	32	Exptl	-40	2090	D	499	340.50	342.54	338.00
67008	1	33	Exptl	100	2190	C	586	350.59	352.63	348.00
67008	1	34	Exptl	-240	1950	A	498	362.50	364.53	360.00
67008	1	35	Exptl	110	2060	C	873	372.87	374.91	370.00
67008	1	36	Exptl	110	2170	D	648	383.65	385.68	381.00
67008	1	37	Exptl	-40	2130	C	675	394.68	396.71	392.00
67008	1	38	Exptl	-60	2070	D	685	406.69	408.71	404.00
67008	1	39	Exptl	-60	2010	C	760	417.76	419.80	415.00
67008	1	40	Exptl	-40	1970	C	611	427.61	429.65	425.00
67008	1	41	Exptl	90	2060	D	793	438.79	440.82	436.00
67008	1	42	Exptl	110	2170	D	888	449.89	451.92	447.00
67008	1	43	Exptl	-60	2110	D	939	461.94	463.98	459.00
67008	1	44	Exptl	190	2300	A	620	473.62	475.65	471.00
67008	1	45	Exptl	90	2390	C	782	483.78	485.82	481.00
67008	1	46	Exptl	-60	2330	D	494	495.50	497.53	493.00
67008	1	47	Exptl	110	2440	C	797	506.80	508.83	504.00
