Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68009	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
68009	1	2	Exptl	200	2200	A	557	12.56	14.59	10.00
68009	1	3	Exptl	190	2390	A	658	24.66	26.68	22.00
68009	1	4	Exptl	-250	2140	A	732	36.73	38.76	34.00
68009	1	5	Exptl	190	2330	B	642	47.64	49.67	45.00
68009	1	6	Exptl	90	2420	C	494	58.49	60.52	56.00
68009	1	7	Exptl	100	2520	D	680	69.68	71.70	67.00
68009	1	8	Exptl	210	2730	A	1394	80.39	82.42	77.00
68009	1	9	Exptl	-240	2490	B	518	89.52	91.55	87.00
68009	1	10	Exptl	200	2690	B	1387	100.39	102.42	97.00
68009	1	11	Exptl	-40	2650	C	478	110.48	112.51	108.00
68009	1	12	Exptl	90	2740	D	589	122.59	124.61	120.00
68009	1	13	Exptl	-240	2500	A	484	134.48	136.52	132.00
68009	1	14	Exptl	-260	2240	A	412	145.41	147.44	143.00
68009	1	15	Exptl	-260	1980	B	401	156.40	158.43	154.00
68009	1	16	Exptl	100	2080	C	480	168.48	170.51	166.00
68009	1	17	Exptl	-50	2030	D	1587	179.59	181.62	176.00
68009	1	18	Exptl	110	2140	D	749	189.75	191.78	187.00
68009	1	19	Exptl	-40	2100	D	622	199.62	201.66	197.00
68009	1	20	Exptl	-40	2060	C	492	211.49	213.53	209.00
68009	1	21	Exptl	210	2270	B	307	221.31	223.34	219.00
68009	1	22	Exptl	190	2460	A	645	232.65	234.67	230.00
68009	1	23	Exptl	210	2670	B	543	244.54	246.58	242.00
68009	1	24	Exptl	110	2780	C	638	254.64	256.67	252.00
68009	1	25	Exptl	-260	2520	B	521	264.52	266.56	262.00
68009	1	26	Exptl	90	2610	D	476	275.48	277.51	273.00
68009	1	27	Exptl	-260	2350	A	478	287.48	289.51	285.00
68009	1	28	Exptl	190	2540	B	400	297.40	299.44	295.00
68009	1	29	Exptl	210	2750	A	804	309.80	311.83	307.00
