Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66015	1	1	Exptl	200	2200	A	1751	3.75	5.78	0.00
66015	1	2	Exptl	190	2390	B	904	12.90	14.93	10.00
66015	1	3	Exptl	90	2480	C	512	24.51	26.53	22.00
66015	1	4	Exptl	100	2580	D	495	36.50	38.52	34.00
66015	1	5	Exptl	190	2770	A	726	47.73	49.76	45.00
66015	1	6	Exptl	-240	2530	B	569	58.57	60.61	56.00
66015	1	7	Exptl	-40	2490	C	1103	70.10	72.13	67.00
66015	1	8	Exptl	90	2580	D	745	79.75	81.78	77.00
66015	1	9	Exptl	-250	2330	A	595	89.60	91.62	87.00
66015	1	10	Exptl	100	2430	C	554	99.55	101.58	97.00
66015	1	11	Exptl	-50	2380	D	821	110.82	112.85	108.00
66015	1	12	Exptl	-40	2340	C	527	122.53	124.55	120.00
66015	1	13	Exptl	200	2540	B	458	134.46	136.49	132.00
66015	1	14	Exptl	210	2750	A	552	145.55	147.59	143.00
66015	1	15	Exptl	110	2860	D	599	156.60	158.62	154.00
66015	1	16	Exptl	-260	2600	B	694	168.69	170.73	166.00
66015	1	17	Exptl	-40	2560	D	717	178.72	180.75	176.00
66015	1	18	Exptl	-240	2320	A	609	189.61	191.63	187.00
66015	1	19	Exptl	210	2530	B	462	199.46	201.49	197.00
66015	1	20	Exptl	90	2620	D	786	211.79	213.82	209.00
66015	1	21	Exptl	110	2730	C	582	221.58	223.61	219.00
66015	1	22	Exptl	210	2940	B	719	232.72	234.74	230.00
66015	1	23	Exptl	-260	2680	A	669	244.67	246.70	242.00
66015	1	24	Exptl	-60	2620	D	866	254.87	256.89	252.00
66015	1	25	Exptl	90	2710	C	.	264.00	266.02	262.00
66015	1	26	Exptl	-260	2450	B	683	275.68	277.71	273.00
66015	1	27	Exptl	-40	2410	D	983	287.98	290.02	285.00
66015	1	28	Exptl	-60	2350	C	556	297.56	299.59	295.00
66015	1	29	Exptl	110	2460	D	599	309.60	311.63	307.00
66015	1	30	Exptl	190	2650	B	422	320.42	322.44	318.00
66015	1	31	Exptl	-60	2590	D	509	330.51	332.54	328.00
66015	1	32	Exptl	110	2700	C	592	340.59	342.63	338.00
66015	1	33	Exptl	90	2790	D	537	350.54	352.57	348.00
