Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66007	1	1	Exptl	190	2190	B	1610	3.61	5.63	0.00
66007	1	2	Exptl	90	2280	C	1855	13.86	15.88	10.00
66007	1	3	Exptl	200	2480	A	825	24.83	26.86	22.00
66007	1	4	Exptl	100	2580	D	813	36.81	38.85	34.00
66007	1	5	Exptl	190	2770	A	1083	48.08	50.11	45.00
66007	1	6	Exptl	-240	2530	B	989	58.99	61.01	56.00
66007	1	7	Exptl	200	2730	B	607	69.61	71.64	67.00
66007	1	8	Exptl	-250	2480	A	831	79.83	81.87	77.00
66007	1	9	Exptl	-260	2220	B	1421	90.42	92.45	87.00
66007	1	10	Exptl	90	2310	D	701	99.70	101.73	97.00
66007	1	11	Exptl	210	2520	A	744	110.74	112.77	108.00
66007	1	12	Exptl	-40	2480	C	677	122.68	124.71	120.00
66007	1	13	Exptl	0	2480	None	.	137.00	139.00	132.00
66007	1	14	Exptl	-240	2240	A	1167	146.17	148.20	143.00
66007	1	15	Exptl	210	2450	B	1116	157.12	159.15	154.00
66007	1	16	Exptl	-50	2400	D	1063	169.06	171.10	166.00
66007	1	17	Exptl	100	2500	C	1679	179.68	181.71	176.00
66007	1	18	Exptl	-260	2240	A	698	189.70	191.72	187.00
66007	1	19	Exptl	210	2450	B	863	199.86	201.90	197.00
66007	1	20	Exptl	-260	2190	B	803	211.80	213.84	209.00
66007	1	21	Exptl	190	2380	A	1167	222.17	224.20	219.00
66007	1	22	Exptl	-260	2120	A	928	232.93	234.96	230.00
66007	1	23	Exptl	210	2330	A	652	244.65	246.68	242.00
66007	1	24	Exptl	190	2520	B	884	254.88	256.91	252.00
66007	1	25	Exptl	-40	2480	C	1256	265.26	267.29	262.00
66007	1	26	Exptl	110	2590	C	512	275.51	277.55	273.00
66007	1	27	Exptl	110	2700	D	890	287.89	289.92	285.00
66007	1	28	Exptl	-240	2460	A	791	297.79	299.83	295.00
66007	1	29	Exptl	-240	2220	A	942	309.94	311.97	307.00
66007	1	30	Exptl	-250	1970	B	2355	322.36	324.38	318.00
