Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67011	1	1	Exptl	200	2200	A	1289	3.29	5.31	0.00
67011	1	2	Exptl	190	2390	B	604	12.60	14.63	10.00
67011	1	3	Exptl	90	2480	C	534	24.53	26.56	22.00
67011	1	4	Exptl	100	2580	D	563	36.56	38.60	34.00
67011	1	5	Exptl	190	2770	A	479	47.48	49.51	45.00
67011	1	6	Exptl	-250	2520	A	591	58.59	60.63	56.00
67011	1	7	Exptl	90	2610	D	491	69.49	71.52	67.00
67011	1	8	Exptl	-40	2570	C	421	79.42	81.45	77.00
67011	1	9	Exptl	210	2780	A	1101	90.10	92.13	87.00
67011	1	10	Exptl	100	2880	C	637	99.64	101.67	97.00
67011	1	11	Exptl	-240	2640	A	465	110.47	112.50	108.00
67011	1	12	Exptl	-260	2380	A	442	122.44	124.47	120.00
67011	1	13	Exptl	-50	2330	D	330	134.33	136.36	132.00
67011	1	14	Exptl	-240	2090	B	525	145.53	147.56	143.00
67011	1	15	Exptl	-40	2050	C	434	156.43	158.46	154.00
67011	1	16	Exptl	190	2240	A	384	168.38	170.41	166.00
67011	1	17	Exptl	200	2440	B	414	178.60	180.62	176.18
67011	1	18	Exptl	110	2550	C	526	189.53	191.56	187.00
67011	1	19	Exptl	110	2660	D	609	199.61	201.65	197.00
67011	1	20	Exptl	90	2750	C	1870	212.87	214.90	209.00
67011	1	21	Exptl	-260	2490	B	455	221.46	223.48	219.00
67011	1	22	Exptl	-40	2450	D	511	232.51	234.54	230.00
67011	1	23	Exptl	-260	2190	A	431	244.43	246.46	242.00
67011	1	24	Exptl	210	2400	A	1307	255.31	257.33	252.00
67011	1	25	Exptl	-240	2160	A	387	264.39	266.41	262.00
67011	1	26	Exptl	-240	1920	A	358	275.36	277.40	273.00
67011	1	27	Exptl	210	2130	B	426	287.43	289.45	285.00
67011	1	28	Exptl	210	2340	B	404	297.40	299.43	295.00
67011	1	29	Exptl	-260	2080	B	498	309.50	311.53	307.00
67011	1	30	Exptl	-60	2020	C	369	320.37	322.40	318.00
67011	1	31	Exptl	110	2130	C	339	330.34	332.37	328.00
67011	1	32	Exptl	-60	2070	C	621	340.62	342.65	338.00
67011	1	33	Exptl	190	2260	A	584	350.58	352.61	348.00
67011	1	34	Exptl	90	2350	D	420	362.42	364.45	360.00
67011	1	35	Exptl	-50	2300	C	702	372.70	374.74	370.00
67011	1	36	Exptl	210	2510	A	1175	384.18	386.21	381.00
67011	1	37	Exptl	-60	2450	D	399	394.40	396.43	392.00
67011	1	38	Exptl	-260	2190	A	191	406.19	408.22	404.00
67011	1	39	Exptl	100	2290	C	667	417.67	419.69	415.00
67011	1	40	Exptl	190	2480	B	985	427.99	430.02	425.00
67011	1	41	Exptl	210	2690	A	439	438.44	440.46	436.00
67011	1	42	Exptl	-40	2650	D	601	449.60	451.63	447.00
67011	1	43	Exptl	-250	2400	B	425	461.43	463.45	459.00
67011	1	44	Exptl	110	2510	C	918	473.92	475.94	471.00
67011	1	45	Exptl	190	2700	A	489	483.49	485.52	481.00
67011	1	46	Exptl	110	2810	D	553	495.55	497.59	493.00
67011	1	47	Exptl	-40	2770	C	510	506.51	508.54	504.00
67011	1	48	Exptl	-60	2710	C	404	518.40	520.43	516.00
67011	1	49	Exptl	200	2910	A	413	528.41	530.43	526.00
67011	1	50	Exptl	-60	2850	D	566	540.57	542.59	538.00
67011	1	51	Exptl	-260	2590	A	379	551.38	553.41	549.00
67011	1	52	Exptl	-40	2550	C	314	563.31	565.35	561.00
67011	1	53	Exptl	-240	2310	A	446	573.45	575.47	571.00
67011	1	54	Exptl	-240	2070	B	566	585.57	587.60	583.00
67011	1	55	Exptl	-250	1820	A	352	595.35	597.38	593.00
67011	1	56	Exptl	90	1910	D	431	606.43	608.47	604.00
67011	1	57	Exptl	200	2110	B	625	616.63	618.66	614.00
67011	1	58	Exptl	90	2200	C	410	628.41	630.43	626.00
67011	1	59	Exptl	190	2390	A	535	639.54	641.56	637.00
67011	1	60	Exptl	210	2600	B	511	650.51	652.55	648.00
67011	1	61	Exptl	-240	2360	A	473	662.47	664.50	660.00
67011	1	62	Exptl	110	2470	C	463	672.46	674.49	670.00
67011	1	63	Exptl	190	2660	B	390	684.39	686.42	682.00
67011	1	64	Exptl	210	2870	A	398	696.40	698.42	694.00
67011	1	65	Exptl	110	2980	D	762	707.76	709.79	705.00
67011	1	66	Exptl	-260	2720	A	1609	719.61	721.65	716.00
67011	1	67	Exptl	-260	2460	B	1089	730.09	732.12	727.00
67011	1	68	Exptl	-50	2410	C	505	739.51	741.53	737.00
67011	1	69	Exptl	210	2620	A	437	749.44	751.47	747.00
67011	1	70	Exptl	-60	2560	D	463	759.46	761.49	757.00
67011	1	71	Exptl	-260	2300	B	1610	771.61	773.63	768.00
67011	1	72	Exptl	90	2390	C	979	782.98	785.00	780.00
67011	1	73	Exptl	-60	2330	D	1990	793.99	796.02	790.00
67011	1	74	Exptl	190	2520	A	1012	805.01	807.03	802.00
67011	1	75	Exptl	-260	2260	A	483	814.48	816.50	812.00
67011	1	76	Exptl	200	2460	A	2057	827.06	829.08	823.00
67011	1	77	Exptl	-240	2220	A	1408	836.41	838.43	833.00
67011	1	78	Exptl	-250	1970	A	703	847.70	849.73	845.00
67011	1	79	Exptl	-240	1730	B	520	858.52	860.55	856.00
67011	1	80	Exptl	-60	1670	C	937	869.94	871.97	867.00
67011	1	81	Exptl	90	1760	D	709	881.71	883.74	879.00
67011	1	82	Exptl	200	1960	A	844	891.84	893.88	889.00
67011	1	83	Exptl	110	2070	D	386	903.39	905.42	901.00
67011	1	84	Exptl	100	2170	C	1033	916.03	918.06	913.00
67011	1	85	Exptl	210	2380	B	1111	927.11	929.14	924.00
67011	1	86	Exptl	190	2570	A	708	936.71	938.73	934.00
67011	1	87	Exptl	-40	2530	D	1690	948.69	950.72	945.00
67011	1	88	Exptl	110	2640	C	2428	959.43	961.45	955.00
67011	1	89	Exptl	-40	2600	C	781	968.78	970.81	966.00
67011	1	90	Exptl	210	2810	A	1455	979.46	981.48	976.00
67011	1	91	Exptl	100	2910	D	1483	990.53	992.55	987.05
67011	1	92	Exptl	-60	2850	C	601	1000.60	1002.63	998.00
67011	1	93	Exptl	90	2940	C	1094	1013.09	1015.12	1010.00
67011	1	94	Exptl	-250	2690	A	780	1023.78	1025.82	1021.00
67011	1	95	Exptl	-40	2650	D	99	1035.10	1037.13	1033.00
67011	1	96	Exptl	-40	2610	C	249	1047.25	1049.27	1045.00
67011	1	97	Exptl	-50	2560	C	653	1057.65	1059.69	1055.00
67011	1	98	Exptl	-240	2320	A	1068	1069.07	1071.10	1066.00
67011	1	99	Exptl	-50	2270	D	2496	1080.50	1082.52	1076.00
67011	1	100	Exptl	-250	2020	B	1829	1091.83	1093.86	1088.00
