Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68015	1	1	Exptl	200	2200	A	1796	3.80	5.83	0.00
68015	1	2	Exptl	190	2390	A	548	12.55	14.58	10.00
68015	1	3	Exptl	-250	2140	A	1078	25.08	27.12	22.00
68015	1	4	Exptl	190	2330	B	504	36.51	38.54	34.00
68015	1	5	Exptl	-240	2090	B	1085	48.09	50.13	45.00
68015	1	6	Exptl	90	2180	C	887	58.89	60.92	56.00
68015	1	7	Exptl	-40	2140	C	788	69.79	71.82	67.00
68015	1	8	Exptl	100	2240	D	776	79.78	81.81	77.00
68015	1	9	Exptl	90	2330	D	1110	90.11	92.14	87.00
68015	1	10	Exptl	-50	2280	D	.	99.00	101.04	97.00
68015	1	11	Exptl	110	2390	D	1012	111.01	113.04	108.00
68015	1	12	Exptl	-40	2350	D	1330	123.33	125.37	120.00
68015	1	13	Exptl	90	2440	D	1059	135.06	137.09	132.00
68015	1	14	Exptl	-60	2380	D	1937	146.94	148.98	143.00
68015	1	15	Exptl	100	2480	C	808	156.81	158.84	154.00
68015	1	16	Exptl	-40	2440	C	1022	169.02	171.06	166.00
68015	1	17	Exptl	110	2550	C	860	178.86	180.90	176.00
68015	1	18	Exptl	90	2640	C	692	189.69	191.73	187.00
68015	1	19	Exptl	-60	2580	C	1388	200.39	202.43	197.00
68015	1	20	Exptl	110	2690	C	900	211.90	213.93	209.00
68015	1	21	Exptl	-60	2630	C	970	221.97	224.01	219.00
68015	1	22	Exptl	-40	2590	D	1343	233.34	235.38	230.00
68015	1	23	Exptl	110	2700	D	716	244.72	246.74	242.00
68015	1	24	Exptl	-60	2640	D	1024	255.03	257.06	252.00
68015	1	25	Exptl	90	2730	D	1210	265.21	267.25	262.00
68015	1	26	Exptl	110	2840	D	.	275.00	277.04	273.00
68015	1	27	Exptl	-60	2780	D	1140	288.14	290.17	285.00
68015	1	28	Exptl	-60	2720	D	983	297.98	300.03	295.00
68015	1	29	Exptl	90	2810	D	.	309.00	311.04	307.00
68015	1	30	Exptl	110	2920	D	714	320.72	322.75	318.00
68015	1	31	Exptl	-40	2880	D	995	331.00	333.02	328.00
68015	1	32	Exptl	-50	2830	C	617	340.62	342.64	338.00
68015	1	33	Exptl	100	2930	C	565	350.57	352.60	348.00
68015	1	34	Exptl	110	3040	C	771	362.77	364.81	360.00
68015	1	35	Exptl	-40	3000	C	943	372.94	374.99	370.00
68015	1	36	Exptl	-60	2940	C	1388	384.39	386.42	381.00
68015	1	37	Exptl	-40	2900	C	960	394.96	397.00	392.00
68015	1	38	Exptl	90	2990	C	712	406.71	408.75	404.00
68015	1	39	Exptl	110	3100	C	873	417.87	419.90	415.00
68015	1	40	Exptl	-50	3050	C	1195	428.20	430.23	425.00
68015	1	41	Exptl	200	3250	B	948	438.95	440.98	436.00
68015	1	42	Exptl	-260	2990	B	850	449.85	451.88	447.00
68015	1	43	Exptl	210	3200	A	494	461.50	463.53	459.00
68015	1	44	Exptl	-240	2960	A	721	473.72	475.75	471.00
68015	1	45	Exptl	90	3050	C	459	483.46	485.50	481.00
68015	1	46	Exptl	-60	2990	C	827	495.83	497.87	493.00
68015	1	47	Exptl	100	3090	C	621	506.62	508.65	504.00
68015	1	48	Exptl	110	3200	C	836	518.84	520.88	516.00
68015	1	49	Exptl	-40	3160	C	893	528.90	530.93	526.00
68015	1	50	Exptl	-60	3100	C	963	540.96	542.99	538.00
68015	1	51	Exptl	90	3190	C	781	551.78	553.82	549.00
68015	1	52	Exptl	-40	3150	C	879	563.88	565.91	561.00
68015	1	53	Exptl	-50	3100	C	923	573.92	575.95	571.00
68015	1	54	Exptl	100	3200	D	1015	586.02	588.04	583.00
68015	1	55	Exptl	-40	3160	D	1247	596.25	598.29	593.00
68015	1	56	Exptl	-50	3110	D	779	606.78	608.82	604.00
68015	1	57	Exptl	-60	3050	D	819	616.82	618.86	614.00
68015	1	58	Exptl	-60	2990	C	973	628.97	631.01	626.00
68015	1	59	Exptl	90	3080	C	657	639.66	641.69	637.00
68015	1	60	Exptl	110	3190	C	980	650.98	653.01	648.00
68015	1	61	Exptl	90	3280	C	648	662.65	664.68	660.00
68015	1	62	Exptl	100	3380	C	526	672.53	674.56	670.00
68015	1	63	Exptl	-40	3340	C	805	684.81	686.85	682.00
68015	1	64	Exptl	-40	3300	C	1503	697.50	699.54	694.00
68015	1	65	Exptl	-60	3240	C	725	707.73	709.75	705.00
68015	1	66	Exptl	90	3330	D	1199	719.20	721.24	716.00
68015	1	67	Exptl	110	3440	D	648	729.65	731.68	727.00
68015	1	68	Exptl	-60	3380	D	727	739.73	741.76	737.00
68015	1	69	Exptl	90	3470	C	596	749.60	751.63	747.00
68015	1	70	Exptl	110	3580	C	1349	760.35	762.38	757.00
68015	1	71	Exptl	110	3690	C	844	770.85	772.88	768.00
68015	1	72	Exptl	-60	3630	C	937	782.94	784.96	780.00
68015	1	73	Exptl	-50	3580	C	683	792.68	794.72	790.00
68015	1	74	Exptl	90	3670	D	763	804.76	806.79	802.00
68015	1	75	Exptl	100	3770	C	1001	815.00	817.04	812.00
68015	1	76	Exptl	110	3880	D	888	825.89	827.92	823.00
68015	1	77	Exptl	110	3990	C	852	835.85	837.89	833.00
68015	1	78	Exptl	-40	3950	C	614	847.62	849.65	845.00
68015	1	79	Exptl	-40	3910	D	754	858.76	860.80	856.00
68015	1	80	Exptl	100	4010	D	952	869.95	871.98	867.00
68015	1	81	Exptl	-60	3950	C	1219	882.22	884.26	879.00
68015	1	82	Exptl	90	4040	C	616	891.62	893.64	889.00
68015	1	83	Exptl	-40	4000	D	1452	904.45	906.49	901.00
68015	1	84	Exptl	-40	3960	C	659	915.66	917.69	913.00
68015	1	85	Exptl	-50	3910	D	832	926.83	928.87	924.00
68015	1	86	Exptl	0	3910	None	.	939.00	941.00	934.00
68015	1	87	Exptl	100	4010	D	629	947.63	949.66	945.00
68015	1	88	Exptl	110	4120	C	666	957.67	959.70	955.00
68015	1	89	Exptl	-50	4070	C	685	968.69	970.72	966.00
68015	1	90	Exptl	90	4160	D	692	978.69	980.73	976.00
68015	1	91	Exptl	90	4250	C	751	989.75	991.79	987.00
68015	1	92	Exptl	-60	4190	C	600	1000.60	1002.64	998.00
68015	1	93	Exptl	-50	4140	D	843	1012.84	1014.88	1010.00
68015	1	94	Exptl	90	4230	C	1129	1024.13	1026.17	1021.00
68015	1	95	Exptl	-40	4190	C	794	1035.80	1037.84	1033.00
68015	1	96	Exptl	110	4300	D	1297	1048.30	1050.33	1045.00
68015	1	97	Exptl	100	4400	C	404	1057.41	1059.43	1055.00
68015	1	98	Exptl	-40	4360	D	597	1068.60	1070.63	1066.00
68015	1	99	Exptl	-40	4320	C	643	1078.64	1080.67	1076.00
68015	1	100	Exptl	90	4410	D	571	1090.57	1092.61	1088.00
