Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67005	1	1	Exptl	200	2200	A	923	2.92	4.96	0.00
67005	1	2	Exptl	190	2390	A	1827	13.83	15.86	10.00
67005	1	3	Exptl	100	2490	D	969	24.97	27.01	22.00
67005	1	4	Exptl	190	2680	B	934	36.93	38.96	34.00
67005	1	5	Exptl	90	2770	C	995	48.00	50.03	45.00
67005	1	6	Exptl	-250	2520	A	808	58.81	60.84	56.00
67005	1	7	Exptl	210	2730	A	638	69.64	71.67	67.00
67005	1	8	Exptl	-240	2490	A	1129	80.13	82.15	77.00
67005	1	9	Exptl	-240	2250	B	777	89.78	91.81	87.00
67005	1	10	Exptl	-40	2210	C	1906	100.91	102.94	97.00
67005	1	11	Exptl	0	2210	None	.	113.00	115.00	108.00
67005	1	12	Exptl	90	2300	D	1405	123.41	125.44	120.00
67005	1	13	Exptl	-50	2250	D	1719	135.72	137.75	132.00
67005	1	14	Exptl	100	2350	C	1734	146.73	148.76	143.00
67005	1	15	Exptl	200	2550	B	1004	157.00	159.03	154.00
67005	1	16	Exptl	-260	2290	A	796	168.80	170.83	166.00
67005	1	17	Exptl	-260	2030	B	851	178.85	180.89	176.00
67005	1	18	Exptl	110	2140	D	1642	190.64	192.68	187.00
67005	1	19	Exptl	-40	2100	D	.	199.00	201.02	197.00
67005	1	20	Exptl	210	2310	B	1176	212.18	214.20	209.00
67005	1	21	Exptl	210	2520	B	.	221.00	223.04	219.00
67005	1	22	Exptl	-40	2480	C	1022	233.02	235.04	230.00
67005	1	23	Exptl	-260	2220	B	715	244.72	246.75	242.00
67005	1	24	Exptl	190	2410	A	1527	255.53	257.56	252.00
67005	1	25	Exptl	90	2500	D	611	264.61	266.65	262.00
67005	1	26	Exptl	190	2690	B	746	275.75	277.78	273.00
67005	1	27	Exptl	-260	2430	A	703	287.70	289.73	285.00
67005	1	28	Exptl	110	2540	C	689	297.69	299.73	295.00
67005	1	29	Exptl	-60	2480	D	954	309.95	311.98	307.00
67005	1	30	Exptl	210	2690	A	861	320.86	322.88	318.00
67005	1	31	Exptl	90	2780	C	894	330.89	332.92	328.00
67005	1	32	Exptl	-60	2720	C	667	340.67	342.70	338.00
67005	1	33	Exptl	-40	2680	D	1143	351.14	353.17	348.00
67005	1	34	Exptl	-240	2440	A	503	362.50	364.53	360.00
67005	1	35	Exptl	-250	2190	B	615	372.62	374.65	370.00
67005	1	36	Exptl	110	2300	C	1630	384.63	386.66	381.00
67005	1	37	Exptl	-240	2060	A	2232	396.23	398.26	392.00
67005	1	38	Exptl	110	2170	D	898	406.90	408.92	404.00
67005	1	39	Exptl	-240	1930	B	586	417.59	419.62	415.00
67005	1	40	Exptl	190	2120	A	858	427.86	429.88	425.00
67005	1	41	Exptl	-60	2060	C	924	438.92	440.95	436.00
67005	1	42	Exptl	210	2270	A	808	449.81	451.84	447.00
67005	1	43	Exptl	-260	2010	A	1508	462.51	464.54	459.00
67005	1	44	Exptl	-50	1960	C	.	473.00	475.04	471.00
67005	1	45	Exptl	-60	1900	D	760	483.76	485.78	481.00
67005	1	46	Exptl	100	2000	C	1141	496.14	498.17	493.00
67005	1	47	Exptl	200	2200	B	1825	507.83	509.86	504.00
67005	1	48	Exptl	110	2310	C	688	518.69	520.71	516.00
67005	1	49	Exptl	210	2520	A	728	528.73	530.75	526.00
67005	1	50	Exptl	90	2610	D	895	540.90	542.93	538.00
67005	1	51	Exptl	210	2820	B	780	551.78	553.81	549.00
67005	1	52	Exptl	-40	2780	C	1561	564.56	566.58	561.00
67005	1	53	Exptl	-60	2720	C	1277	574.28	576.31	571.00
67005	1	54	Exptl	-40	2680	C	1088	586.09	588.11	583.00
67005	1	55	Exptl	190	2870	A	903	595.90	597.94	593.00
67005	1	56	Exptl	110	2980	D	783	606.78	608.82	604.00
67005	1	57	Exptl	-60	2920	D	.	616.00	618.04	614.00
67005	1	58	Exptl	90	3010	C	1446	629.45	631.47	626.00
67005	1	59	Exptl	190	3200	B	1875	640.88	642.91	637.00
67005	1	60	Exptl	-260	2940	B	758	650.76	652.80	648.00
67005	1	61	Exptl	200	3140	A	1157	663.16	665.19	660.00
67005	1	62	Exptl	-60	3080	D	584	672.58	674.61	670.00
67005	1	63	Exptl	-260	2820	B	1614	685.61	687.64	682.00
67005	1	64	Exptl	-240	2580	B	976	696.98	699.01	694.00
67005	1	65	Exptl	-260	2320	A	973	707.97	710.01	705.00
67005	1	66	Exptl	210	2530	B	1244	719.24	721.27	716.00
67005	1	67	Exptl	110	2640	C	2101	731.10	733.13	727.00
67005	1	68	Exptl	90	2730	D	895	739.90	741.93	737.00
67005	1	69	Exptl	-240	2490	A	855	749.86	751.89	747.00
67005	1	70	Exptl	-50	2440	C	2596	761.60	763.62	757.00
67005	1	71	Exptl	90	2530	C	1083	771.08	773.11	768.00
67005	1	72	Exptl	110	2640	D	927	782.93	784.95	780.00
67005	1	73	Exptl	0	2640	None	.	795.00	797.00	790.00
67005	1	74	Exptl	-250	2390	A	1046	805.05	807.08	802.00
67005	1	75	Exptl	-60	2330	C	1480	815.48	817.51	812.00
67005	1	76	Exptl	-40	2290	D	904	825.90	827.94	823.00
67005	1	77	Exptl	100	2390	C	1364	836.36	838.40	833.00
67005	1	78	Exptl	190	2580	A	857	847.86	849.88	845.00
67005	1	79	Exptl	100	2680	D	616	858.62	860.65	856.00
67005	1	80	Exptl	110	2790	C	878	869.88	871.92	867.00
67005	1	81	Exptl	-240	2550	A	1283	882.28	884.31	879.00
67005	1	82	Exptl	-40	2510	D	1002	892.00	894.03	889.00
67005	1	83	Exptl	-250	2260	B	762	903.76	905.79	901.00
67005	1	84	Exptl	190	2450	B	587	915.59	917.62	913.00
67005	1	85	Exptl	-50	2400	D	1030	927.03	929.06	924.00
67005	1	86	Exptl	210	2610	A	856	936.86	938.88	934.00
67005	1	87	Exptl	-40	2570	C	1141	948.14	950.17	945.00
67005	1	88	Exptl	-60	2510	C	990	957.99	960.02	955.00
67005	1	89	Exptl	-60	2450	D	171	968.17	970.20	966.00
67005	1	90	Exptl	90	2540	C	999	979.00	981.03	976.00
67005	1	91	Exptl	-240	2300	B	1285	990.29	992.31	987.00
67005	1	92	Exptl	90	2390	D	1547	1001.55	1003.58	998.00
67005	1	93	Exptl	-260	2130	A	466	1012.47	1014.50	1010.00
67005	1	94	Exptl	210	2340	A	808	1023.81	1025.83	1021.00
67005	1	95	Exptl	-40	2300	C	820	1035.82	1037.85	1033.00
67005	1	96	Exptl	-50	2250	C	1465	1048.47	1050.50	1045.00
67005	1	97	Exptl	-60	2190	C	2015	1059.02	1061.04	1055.00
67005	1	98	Exptl	90	2280	C	774	1068.77	1070.80	1066.00
67005	1	99	Exptl	110	2390	C	987	1078.99	1081.01	1076.00
67005	1	100	Exptl	-260	2130	B	687	1090.69	1092.71	1088.00
