Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68004000	1	1	Exptl	200	2200	A	1080	3.08	5.12	0.00
68004000	1	2	Exptl	0	2200	None	.	15.00	17.00	10.00
68004000	1	3	Exptl	190	2390	A	778	24.78	26.81	22.00
68004000	1	4	Exptl	190	2580	B	708	36.71	38.75	34.00
68004000	1	5	Exptl	90	2670	C	665	47.67	49.70	45.00
68004000	1	6	Exptl	-250	2420	A	1584	59.59	61.62	56.00
68004000	1	7	Exptl	100	2520	D	643	69.65	71.68	67.00
68004000	1	8	Exptl	210	2730	A	470	79.47	81.51	77.00
68004000	1	9	Exptl	-240	2490	B	919	89.92	91.95	87.00
68004000	1	10	Exptl	-240	2250	A	738	99.74	101.77	97.00
68004000	1	11	Exptl	200	2450	B	916	110.92	112.96	108.00
68004000	1	12	Exptl	-40	2410	C	668	122.67	124.71	120.00
68004000	1	13	Exptl	100	2510	C	947	134.95	136.99	132.00
68004000	1	14	Exptl	90	2600	D	766	145.77	147.80	143.00
68004000	1	15	Exptl	-260	2340	A	605	156.61	158.65	154.00
68004000	1	16	Exptl	190	2530	A	2426	170.43	172.47	166.00
68004000	1	17	Exptl	-260	2270	B	781	178.78	180.82	176.00
68004000	1	18	Exptl	210	2480	B	670	189.67	191.71	187.00
68004000	1	19	Exptl	210	2690	B	884	199.89	201.92	197.00
68004000	1	20	Exptl	-40	2650	C	831	211.83	213.86	209.00
68004000	1	21	Exptl	110	2760	C	1351	222.35	224.39	219.00
68004000	1	22	Exptl	90	2850	C	823	232.82	234.85	230.00
68004000	1	23	Exptl	-60	2790	C	110	244.11	246.15	242.00
68004000	1	24	Exptl	-50	2740	D	1461	255.46	257.50	252.00
68004000	1	25	Exptl	110	2850	D	1309	265.31	267.34	262.00
68004000	1	26	Exptl	-40	2810	D	2836	277.84	279.87	273.00
68004000	1	27	Exptl	-260	2550	A	760	287.76	289.79	285.00
68004000	1	28	Exptl	210	2760	A	590	297.59	299.62	295.00
68004000	1	29	Exptl	-260	2500	B	743	309.74	311.78	307.00
68004000	1	30	Exptl	190	2690	B	666	320.67	322.71	318.00
68004000	1	31	Exptl	-250	2440	B	2669	332.67	334.70	328.00
68004000	1	32	Exptl	110	2550	C	1180	341.18	343.21	338.00
68004000	1	33	Exptl	-60	2490	C	655	350.66	352.70	348.00
68004000	1	34	Exptl	90	2580	D	917	362.92	364.96	360.00
68004000	1	35	Exptl	-240	2340	A	1656	373.66	375.69	370.00
68004000	1	36	Exptl	-240	2100	A	1011	384.01	386.05	381.00
68004000	1	37	Exptl	190	2290	A	977	394.98	397.01	392.00
68004000	1	38	Exptl	-240	2050	B	1331	407.33	409.37	404.00
68004000	1	39	Exptl	200	2250	B	.	417.00	419.04	415.00
68004000	1	40	Exptl	210	2460	B	1264	428.27	430.29	425.00
68004000	1	41	Exptl	-50	2410	C	893	438.89	440.92	436.00
68004000	1	42	Exptl	100	2510	C	989	449.99	452.02	447.00
68004000	1	43	Exptl	110	2620	C	1074	462.08	464.11	459.00
68004000	1	44	Exptl	-60	2560	D	907	473.91	475.94	471.00
68004000	1	45	Exptl	-40	2520	D	799	483.80	485.84	481.00
68004000	1	46	Exptl	110	2630	D	264	495.27	497.29	493.00
68004000	1	47	Exptl	210	2840	A	895	506.90	508.93	504.00
68004000	1	48	Exptl	190	3030	B	1881	519.88	521.91	516.00
68004000	1	49	Exptl	-40	2990	C	869	528.87	530.91	526.00
68004000	1	50	Exptl	-60	2930	C	633	540.64	542.67	538.00
68004000	1	51	Exptl	-40	2890	C	503	551.51	553.53	549.00
68004000	1	52	Exptl	-60	2830	D	217	563.22	565.25	561.00
68004000	1	53	Exptl	-260	2570	A	638	573.64	575.68	571.00
68004000	1	54	Exptl	-260	2310	B	803	585.81	587.84	583.00
68004000	1	55	Exptl	90	2400	C	667	595.67	597.71	593.00
68004000	1	56	Exptl	110	2510	C	759	606.76	608.79	604.00
68004000	1	57	Exptl	-50	2460	C	1024	617.03	619.05	614.00
68004000	1	58	Exptl	90	2550	D	1121	629.12	631.16	626.00
68004000	1	59	Exptl	110	2660	D	2036	641.04	643.07	637.00
