Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66017	1	1	Exptl	190	2190	B	556	2.56	4.58	0.00
66017	1	2	Exptl	90	2280	C	482	12.48	14.51	10.00
66017	1	3	Exptl	200	2480	A	452	24.45	26.48	22.00
66017	1	4	Exptl	100	2580	D	552	36.55	38.59	34.00
66017	1	5	Exptl	190	2770	A	483	47.48	49.52	45.00
66017	1	6	Exptl	-240	2530	B	487	58.49	60.52	56.00
66017	1	7	Exptl	-250	2280	A	442	69.44	71.47	67.00
66017	1	8	Exptl	-40	2240	C	652	79.65	81.68	77.00
66017	1	9	Exptl	90	2330	D	416	89.42	91.45	87.00
66017	1	10	Exptl	100	2430	C	458	99.46	101.49	97.00
66017	1	11	Exptl	-40	2390	C	411	110.41	112.44	108.00
66017	1	12	Exptl	200	2590	B	409	122.41	124.43	120.00
66017	1	13	Exptl	210	2800	A	398	134.40	136.44	132.00
66017	1	14	Exptl	110	2910	C	384	145.38	147.42	143.00
66017	1	15	Exptl	-50	2860	D	568	156.57	158.60	154.00
66017	1	16	Exptl	-240	2620	A	338	168.34	170.37	166.00
66017	1	17	Exptl	90	2710	C	405	178.41	180.43	176.00
66017	1	18	Exptl	110	2820	D	525	189.53	191.55	187.00
66017	1	19	Exptl	-260	2560	B	322	199.32	201.35	197.00
66017	1	20	Exptl	210	2770	B	359	211.36	213.39	209.00
66017	1	21	Exptl	-260	2510	A	432	221.43	223.47	219.00
66017	1	22	Exptl	-60	2450	C	361	232.36	234.38	230.00
66017	1	23	Exptl	210	2660	B	323	244.32	246.36	242.00
66017	1	24	Exptl	190	2850	A	670	254.67	256.70	252.00
66017	1	25	Exptl	-40	2810	D	382	264.38	266.41	262.00
66017	1	26	Exptl	110	2920	C	614	275.61	277.64	273.00
66017	1	27	Exptl	90	3010	D	394	287.40	289.43	285.00
66017	1	28	Exptl	-260	2750	B	372	297.37	299.40	295.00
66017	1	29	Exptl	-60	2690	D	562	309.56	311.59	307.00
66017	1	30	Exptl	-60	2630	C	427	320.43	322.46	318.00
66017	1	31	Exptl	190	2820	B	379	330.38	332.40	328.00
66017	1	32	Exptl	-260	2560	A	473	340.47	342.51	338.00
66017	1	33	Exptl	-50	2510	C	551	350.55	352.58	348.00
66017	1	34	Exptl	100	2610	C	411	362.41	364.44	360.00
66017	1	35	Exptl	-250	2360	B	378	372.38	374.41	370.00
66017	1	36	Exptl	-40	2320	D	413	383.41	385.45	381.00
66017	1	37	Exptl	110	2430	C	793	394.79	396.83	392.00
66017	1	38	Exptl	110	2540	D	550	406.55	408.58	404.00
66017	1	39	Exptl	210	2750	A	354	417.35	419.38	415.00
66017	1	40	Exptl	-240	2510	B	403	427.40	429.44	425.00
66017	1	41	Exptl	-40	2470	C	469	438.47	440.51	436.00
66017	1	42	Exptl	-60	2410	C	762	449.76	451.79	447.00
66017	1	43	Exptl	-40	2370	C	321	461.32	463.34	459.00
66017	1	44	Exptl	-60	2310	D	418	473.42	475.45	471.00
66017	1	45	Exptl	200	2510	B	313	483.31	485.34	481.00
66017	1	46	Exptl	-240	2270	A	373	495.37	497.40	493.00
66017	1	47	Exptl	210	2480	B	1013	507.01	509.03	504.00
66017	1	48	Exptl	-240	2240	A	394	518.39	520.42	516.00
66017	1	49	Exptl	190	2430	B	304	528.30	530.33	526.00
66017	1	50	Exptl	90	2520	C	598	540.60	542.62	538.00
66017	1	51	Exptl	-260	2260	B	401	551.40	553.43	549.00
66017	1	52	Exptl	110	2370	C	436	563.44	565.47	561.00
66017	1	53	Exptl	190	2560	A	427	573.43	575.46	571.00
66017	1	54	Exptl	-260	2300	B	484	585.48	587.52	583.00
66017	1	55	Exptl	-240	2060	B	686	595.69	597.71	593.00
66017	1	56	Exptl	90	2150	D	417	606.42	608.44	604.00
66017	1	57	Exptl	210	2360	B	334	616.33	618.37	614.00
66017	1	58	Exptl	-50	2310	C	341	628.34	630.37	626.00
66017	1	59	Exptl	210	2520	A	453	639.45	641.49	637.00
66017	1	60	Exptl	110	2630	D	520	650.52	652.56	648.00
66017	1	61	Exptl	-250	2380	B	286	662.29	664.31	660.00
66017	1	62	Exptl	90	2470	C	381	672.38	674.40	670.00
66017	1	63	Exptl	-260	2210	A	381	684.38	686.41	682.00
66017	1	64	Exptl	-60	2150	D	477	696.48	698.50	694.00
66017	1	65	Exptl	-60	2090	C	501	707.50	709.53	705.00
66017	1	66	Exptl	190	2280	B	344	718.34	720.38	716.00
66017	1	67	Exptl	100	2380	C	410	729.41	731.45	727.00
66017	1	68	Exptl	210	2590	A	435	739.44	741.47	737.00
66017	1	69	Exptl	-60	2530	D	546	749.55	751.58	747.00
66017	1	70	Exptl	190	2720	A	302	759.30	761.34	757.00
66017	1	71	Exptl	90	2810	D	338	770.34	772.37	768.00
66017	1	72	Exptl	110	2920	C	542	782.54	784.58	780.00
