Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67001	1	1	Exptl	200	2200	A	1985	3.99	6.01	0.00
67001	1	2	Exptl	100	2300	D	745	12.75	14.78	10.00
67001	1	3	Exptl	90	2390	C	586	24.59	26.62	22.00
67001	1	4	Exptl	190	2580	A	.	36.00	38.03	34.00
67001	1	5	Exptl	190	2770	B	647	47.65	49.67	45.00
67001	1	6	Exptl	-40	2730	C	742	58.74	60.77	56.00
67001	1	7	Exptl	-250	2480	A	698	69.70	71.74	67.00
67001	1	8	Exptl	-240	2240	B	661	79.66	81.69	77.00
67001	1	9	Exptl	90	2330	D	1056	90.06	92.09	87.00
67001	1	10	Exptl	100	2430	C	559	99.56	101.59	97.00
67001	1	11	Exptl	210	2640	A	630	110.63	112.66	108.00
67001	1	12	Exptl	200	2840	B	846	122.85	124.88	120.00
67001	1	13	Exptl	-50	2790	D	1059	135.06	137.09	132.00
67001	1	14	Exptl	-260	2530	B	701	145.70	147.74	143.00
67001	1	15	Exptl	-240	2290	A	891	156.89	158.92	154.00
67001	1	16	Exptl	-40	2250	C	936	168.94	170.96	166.00
67001	1	17	Exptl	-260	1990	A	1143	179.14	181.17	176.00
67001	1	18	Exptl	110	2100	C	626	189.63	191.65	187.00
67001	1	19	Exptl	110	2210	D	859	199.86	201.89	197.00
67001	1	20	Exptl	210	2420	B	744	211.74	213.78	209.00
67001	1	21	Exptl	190	2610	A	684	221.68	223.72	219.00
67001	1	22	Exptl	90	2700	C	1066	233.07	235.09	230.00
67001	1	23	Exptl	-40	2660	D	913	244.91	246.94	242.00
67001	1	24	Exptl	-260	2400	A	888	254.89	256.92	252.00
67001	1	25	Exptl	-60	2340	C	647	264.65	266.67	262.00
67001	1	26	Exptl	210	2550	A	948	275.95	277.97	273.00
67001	1	27	Exptl	110	2660	C	677	287.68	289.71	285.00
67001	1	28	Exptl	210	2870	B	766	297.77	299.79	295.00
67001	1	29	Exptl	-240	2630	A	1014	310.01	312.05	307.00
67001	1	30	Exptl	90	2720	D	747	320.75	322.78	318.00
67001	1	31	Exptl	-260	2460	B	565	330.57	332.60	328.00
67001	1	32	Exptl	-60	2400	C	498	340.50	342.52	338.00
67001	1	33	Exptl	-240	2160	A	682	350.68	352.72	348.00
67001	1	34	Exptl	-60	2100	D	873	362.87	364.91	360.00
67001	1	35	Exptl	190	2290	B	579	372.58	374.61	370.00
67001	1	36	Exptl	190	2480	A	1143	384.14	386.17	381.00
67001	1	37	Exptl	-50	2430	C	490	394.49	396.53	392.00
67001	1	38	Exptl	-250	2180	B	553	406.55	408.58	404.00
67001	1	39	Exptl	-240	1940	B	938	417.94	419.97	415.00
67001	1	40	Exptl	210	2150	A	614	427.61	429.64	425.00
