Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66016	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
66016	1	2	Exptl	200	2200	A	520	12.52	14.55	10.00
66016	1	3	Exptl	90	2290	C	506	24.51	26.54	22.00
66016	1	4	Exptl	190	2480	A	1206	37.21	39.23	34.00
66016	1	5	Exptl	190	2670	B	520	47.52	49.55	45.00
66016	1	6	Exptl	100	2770	D	818	58.82	60.85	56.00
66016	1	7	Exptl	-250	2520	A	521	69.52	71.54	67.00
66016	1	8	Exptl	-40	2480	C	854	79.85	81.89	77.00
66016	1	9	Exptl	210	2690	A	501	89.50	91.53	87.00
66016	1	10	Exptl	100	2790	C	412	99.41	101.43	97.00
66016	1	11	Exptl	90	2880	D	633	110.63	112.67	108.00
66016	1	12	Exptl	-240	2640	B	508	122.51	124.54	120.00
66016	1	13	Exptl	200	2840	B	494	134.49	136.53	132.00
66016	1	14	Exptl	-260	2580	B	618	145.62	147.64	143.00
66016	1	15	Exptl	210	2790	B	520	156.52	158.54	154.00
66016	1	16	Exptl	-40	2750	C	484	168.48	170.51	166.00
66016	1	17	Exptl	-50	2700	D	695	178.70	180.72	176.00
66016	1	18	Exptl	110	2810	D	788	189.79	191.82	187.00
66016	1	19	Exptl	-240	2570	A	613	199.61	201.65	197.00
66016	1	20	Exptl	-260	2310	A	516	211.52	213.55	209.00
66016	1	21	Exptl	190	2500	A	1052	222.05	224.08	219.00
66016	1	22	Exptl	-40	2460	D	436	232.44	234.46	230.00
66016	1	23	Exptl	210	2670	B	515	244.52	246.55	242.00
66016	1	24	Exptl	-260	2410	A	501	254.50	256.52	252.00
66016	1	25	Exptl	110	2520	C	460	264.46	266.48	262.00
66016	1	26	Exptl	-260	2260	B	458	275.46	277.48	273.00
66016	1	27	Exptl	90	2350	D	536	287.54	289.57	285.00
66016	1	28	Exptl	210	2560	A	717	297.72	299.75	295.00
66016	1	29	Exptl	-60	2500	D	856	309.86	311.89	307.00
66016	1	30	Exptl	-40	2460	D	842	320.84	322.87	318.00
66016	1	31	Exptl	190	2650	B	407	330.41	332.44	328.00
66016	1	32	Exptl	110	2760	D	394	340.39	342.42	338.00
66016	1	33	Exptl	-250	2510	B	457	350.46	352.49	348.00
66016	1	34	Exptl	-240	2270	B	330	362.33	364.36	360.00
66016	1	35	Exptl	200	2470	B	459	372.46	374.49	370.00
66016	1	36	Exptl	-240	2230	A	540	383.54	385.57	381.00
66016	1	37	Exptl	210	2440	B	642	394.64	396.67	392.00
66016	1	38	Exptl	-60	2380	D	1016	407.02	409.05	404.00
66016	1	39	Exptl	-240	2140	A	541	417.54	419.58	415.00
66016	1	40	Exptl	190	2330	A	343	427.34	429.37	425.00
66016	1	41	Exptl	190	2520	B	531	438.53	440.57	436.00
66016	1	42	Exptl	90	2610	C	630	449.63	451.67	447.00
66016	1	43	Exptl	90	2700	D	687	461.69	463.72	459.00
66016	1	44	Exptl	-60	2640	C	452	473.45	475.48	471.00
66016	1	45	Exptl	110	2750	D	513	483.51	485.53	481.00
66016	1	46	Exptl	110	2860	C	513	495.51	497.54	493.00
66016	1	47	Exptl	-260	2600	B	434	506.43	508.46	504.00
66016	1	48	Exptl	210	2810	A	838	518.84	520.87	516.00
66016	1	49	Exptl	-60	2750	C	637	528.64	530.67	526.00
66016	1	50	Exptl	-50	2700	C	449	540.45	542.48	538.00
66016	1	51	Exptl	100	2800	C	536	551.54	553.56	549.00
66016	1	52	Exptl	-260	2540	B	661	563.66	565.68	561.00
66016	1	53	Exptl	-240	2300	B	603	573.60	575.64	571.00
66016	1	54	Exptl	210	2510	B	436	585.44	587.46	583.00
66016	1	55	Exptl	-260	2250	A	552	595.55	597.59	593.00
66016	1	56	Exptl	210	2460	A	367	606.37	608.40	604.00
66016	1	57	Exptl	-250	2210	B	577	616.58	618.61	614.00
66016	1	58	Exptl	190	2400	B	541	628.54	630.57	626.00
66016	1	59	Exptl	-60	2340	D	706	639.71	641.73	637.00
66016	1	60	Exptl	-60	2280	D	653	650.65	652.68	648.00
66016	1	61	Exptl	90	2370	D	463	662.46	664.49	660.00
66016	1	62	Exptl	110	2480	D	601	672.60	674.63	670.00
