Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68002	1	1	Exptl	200	2200	A	.	2.00	4.04	0.00
68002	1	2	Exptl	190	2390	A	59	12.06	14.10	10.00
68002	1	3	Exptl	-250	2140	A	1163	25.17	27.20	22.00
68002	1	4	Exptl	190	2330	B	675	36.68	38.72	34.00
68002	1	5	Exptl	-240	2090	B	724	47.73	49.77	45.00
68002	1	6	Exptl	90	2180	C	685	58.69	60.72	56.00
68002	1	7	Exptl	-40	2140	C	1030	70.03	72.07	67.00
68002	1	8	Exptl	100	2240	D	832	79.84	81.87	77.00
68002	1	9	Exptl	100	2340	C	578	89.58	91.61	87.00
68002	1	10	Exptl	200	2540	B	708	99.71	101.74	97.00
68002	1	11	Exptl	210	2750	A	578	110.58	112.62	108.00
68002	1	12	Exptl	-260	2490	B	583	122.59	124.63	120.00
68002	1	13	Exptl	210	2700	B	507	134.51	136.55	132.00
68002	1	14	Exptl	210	2910	B	541	145.54	147.58	143.00
68002	1	15	Exptl	-240	2670	A	1012	157.01	159.05	154.00
68002	1	16	Exptl	-260	2410	B	793	168.80	170.82	166.00
68002	1	17	Exptl	90	2500	D	652	178.65	180.70	176.00
68002	1	18	Exptl	-40	2460	C	637	189.64	191.68	187.00
68002	1	19	Exptl	-50	2410	D	772	199.77	201.80	197.00
68002	1	20	Exptl	110	2520	D	830	211.83	213.86	209.00
68002	1	21	Exptl	190	2710	B	546	221.55	223.58	219.00
68002	1	22	Exptl	-260	2450	A	693	232.70	234.73	230.00
68002	1	23	Exptl	190	2640	A	629	244.63	246.67	242.00
68002	1	24	Exptl	-250	2390	B	586	254.59	256.63	252.00
68002	1	25	Exptl	-240	2150	B	830	264.83	266.87	262.00
68002	1	26	Exptl	110	2260	C	805	275.81	277.84	273.00
68002	1	27	Exptl	-40	2220	D	535	287.54	289.57	285.00
68002	1	28	Exptl	90	2310	C	826	297.83	299.87	295.00
68002	1	29	Exptl	-60	2250	C	593	309.59	311.62	307.00
68002	1	30	Exptl	110	2360	C	618	320.62	322.65	318.00
68002	1	31	Exptl	-60	2300	C	518	330.52	332.55	328.00
68002	1	32	Exptl	-50	2250	C	831	340.83	342.87	338.00
68002	1	33	Exptl	100	2350	C	624	350.63	352.66	348.00
68002	1	34	Exptl	110	2460	C	702	362.70	364.74	360.00
68002	1	35	Exptl	-40	2420	C	545	372.55	374.58	370.00
68002	1	36	Exptl	-60	2360	C	421	383.42	385.46	381.00
68002	1	37	Exptl	-260	2100	A	523	394.52	396.56	392.00
68002	1	38	Exptl	90	2190	D	769	406.77	408.80	404.00
68002	1	39	Exptl	-40	2150	C	571	417.57	419.61	415.00
68002	1	40	Exptl	210	2360	A	612	427.61	429.65	425.00
68002	1	41	Exptl	200	2560	B	652	438.65	440.69	436.00
68002	1	42	Exptl	-60	2500	D	545	449.55	451.58	447.00
68002	1	43	Exptl	-40	2460	D	648	461.65	463.69	459.00
68002	1	44	Exptl	90	2550	C	586	473.59	475.61	471.00
68002	1	45	Exptl	110	2660	C	669	483.67	485.71	481.00
68002	1	46	Exptl	-50	2610	C	544	495.55	497.58	493.00
68002	1	47	Exptl	90	2700	C	642	506.64	508.68	504.00
68002	1	48	Exptl	-60	2640	C	503	518.51	520.53	516.00
68002	1	49	Exptl	100	2740	C	886	528.89	530.93	526.00
68002	1	50	Exptl	110	2850	C	531	540.53	542.56	538.00
68002	1	51	Exptl	-40	2810	C	341	551.34	553.38	549.00
68002	1	52	Exptl	-60	2750	C	525	563.53	565.57	561.00
68002	1	53	Exptl	90	2840	C	745	573.75	575.78	571.00
68002	1	54	Exptl	-40	2800	C	507	585.51	587.55	583.00
68002	1	55	Exptl	-50	2750	C	823	595.83	597.86	593.00
68002	1	56	Exptl	-60	2690	C	458	606.46	608.49	604.00
68002	1	57	Exptl	110	2800	D	752	616.75	618.78	614.00
68002	1	58	Exptl	-60	2740	D	672	628.67	630.71	626.00
68002	1	59	Exptl	90	2830	C	719	639.72	641.75	637.00
68002	1	60	Exptl	90	2920	D	539	650.54	652.57	648.00
68002	1	61	Exptl	110	3030	C	494	662.50	664.52	660.00
68002	1	62	Exptl	110	3140	D	552	672.55	674.58	670.00
68002	1	63	Exptl	90	3230	C	774	684.78	686.81	682.00
68002	1	64	Exptl	-60	3170	D	708	696.71	698.75	694.00
68002	1	65	Exptl	100	3270	C	508	707.51	709.54	705.00
68002	1	66	Exptl	-60	3210	D	634	718.64	720.68	716.00
68002	1	67	Exptl	-40	3170	C	606	729.61	731.64	727.00
68002	1	68	Exptl	90	3260	D	400	739.40	741.43	737.00
68002	1	69	Exptl	-40	3220	C	751	749.75	751.79	747.00
68002	1	70	Exptl	110	3330	D	669	759.67	761.70	757.00
68002	1	71	Exptl	-40	3290	D	591	770.59	772.63	768.00
68002	1	72	Exptl	100	3390	D	604	782.61	784.64	780.00
68002	1	73	Exptl	-40	3350	D	568	792.57	794.61	790.00
68002	1	74	Exptl	-60	3290	C	593	804.60	806.63	802.00
68002	1	75	Exptl	-50	3240	D	420	814.42	816.46	812.00
68002	1	76	Exptl	90	3330	C	525	825.53	827.56	823.00
68002	1	77	Exptl	-60	3270	D	545	835.55	837.58	833.00
68002	1	78	Exptl	-240	3030	A	600	847.60	849.64	845.00
68002	1	79	Exptl	210	3240	B	832	858.83	860.87	856.00
68002	1	80	Exptl	-240	3000	A	1148	870.15	872.19	867.00
68002	1	81	Exptl	190	3190	B	583	881.58	883.63	879.00
68002	1	82	Exptl	110	3300	C	448	891.45	893.48	889.00
68002	1	83	Exptl	110	3410	C	745	903.75	905.77	901.00
68002	1	84	Exptl	-60	3350	C	723	915.72	917.76	913.00
68002	1	85	Exptl	-50	3300	C	429	926.43	928.46	924.00
68002	1	86	Exptl	100	3400	C	728	936.73	938.77	934.00
68002	1	87	Exptl	110	3510	C	725	947.73	949.77	945.00
68002	1	88	Exptl	-40	3470	C	889	957.89	959.93	955.00
68002	1	89	Exptl	-60	3410	C	410	968.41	970.44	966.00
68002	1	90	Exptl	90	3500	C	392	978.39	980.43	976.00
68002	1	91	Exptl	-40	3460	C	557	989.56	991.60	987.00
68002	1	92	Exptl	90	3550	D	659	1000.66	1002.70	998.00
68002	1	93	Exptl	110	3660	D	671	1012.67	1014.70	1010.00
68002	1	94	Exptl	-60	3600	D	606	1023.61	1025.64	1021.00
68002	1	95	Exptl	90	3690	D	690	1035.70	1037.73	1033.00
68002	1	96	Exptl	110	3800	D	530	1047.53	1049.56	1045.00
68002	1	97	Exptl	-40	3760	D	615	1057.62	1059.66	1055.00
68002	1	98	Exptl	110	3870	C	624	1068.63	1070.66	1066.00
68002	1	99	Exptl	100	3970	D	566	1078.57	1080.60	1076.00
68002	1	100	Exptl	-50	3920	C	451	1090.45	1092.49	1088.00
