Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66005	1	1	Exptl	190	2190	B	1440	3.44	5.46	0.00
66005	1	2	Exptl	200	2390	A	1131	13.13	15.15	10.00
66005	1	3	Exptl	100	2490	D	734	24.73	26.76	22.00
66005	1	4	Exptl	190	2680	A	662	36.66	38.69	34.00
66005	1	5	Exptl	90	2770	C	567	47.57	49.59	45.00
66005	1	6	Exptl	-250	2520	A	609	58.61	60.64	56.00
66005	1	7	Exptl	-240	2280	B	528	69.53	71.56	67.00
66005	1	8	Exptl	200	2480	B	580	79.58	81.62	77.00
66005	1	9	Exptl	210	2690	A	837	89.84	91.86	87.00
66005	1	10	Exptl	-40	2650	C	632	99.63	101.66	97.00
66005	1	11	Exptl	100	2750	C	372	110.37	112.40	108.00
66005	1	12	Exptl	-240	2510	A	511	122.51	124.54	120.00
66005	1	13	Exptl	-260	2250	A	556	134.56	136.59	132.00
66005	1	14	Exptl	190	2440	A	635	145.64	147.66	143.00
66005	1	15	Exptl	-40	2400	C	522	156.52	158.56	154.00
66005	1	16	Exptl	90	2490	D	432	168.43	170.46	166.00
66005	1	17	Exptl	-260	2230	B	540	178.54	180.57	176.00
66005	1	18	Exptl	210	2440	B	604	189.60	191.64	187.00
66005	1	19	Exptl	-260	2180	A	425	199.43	201.46	197.00
66005	1	20	Exptl	-50	2130	D	563	211.56	213.58	209.00
66005	1	21	Exptl	210	2340	B	599	221.60	223.63	219.00
66005	1	22	Exptl	-260	2080	B	483	232.48	234.51	230.00
66005	1	23	Exptl	110	2190	C	649	244.65	246.68	242.00
66005	1	24	Exptl	210	2400	A	582	254.58	256.61	252.00
66005	1	25	Exptl	90	2490	C	524	264.52	266.55	262.00
66005	1	26	Exptl	110	2600	D	493	275.49	277.53	273.00
66005	1	27	Exptl	-240	2360	A	464	287.46	289.50	285.00
66005	1	28	Exptl	-240	2120	A	557	297.56	299.59	295.00
66005	1	29	Exptl	190	2310	A	644	309.64	311.67	307.00
66005	1	30	Exptl	-40	2270	D	416	320.42	322.45	318.00
66005	1	31	Exptl	-60	2210	C	664	330.66	332.69	328.00
66005	1	32	Exptl	190	2400	B	604	340.60	342.63	338.00
66005	1	33	Exptl	210	2610	A	460	350.46	352.49	348.00
66005	1	34	Exptl	110	2720	C	309	362.31	364.34	360.00
66005	1	35	Exptl	-250	2470	B	738	372.74	374.77	370.00
66005	1	36	Exptl	90	2560	D	802	383.80	385.84	381.00
66005	1	37	Exptl	-260	2300	A	813	394.81	396.84	392.00
66005	1	38	Exptl	-60	2240	C	543	406.54	408.57	404.00
66005	1	39	Exptl	0	2240	None	.	420.00	422.00	415.00
66005	1	40	Exptl	210	2450	A	488	427.49	429.51	425.00
66005	1	41	Exptl	190	2640	A	807	438.81	440.83	436.00
66005	1	42	Exptl	200	2840	A	289	449.29	451.33	447.00
66005	1	43	Exptl	-240	2600	B	267	461.27	463.30	459.00
66005	1	44	Exptl	-260	2340	A	274	473.27	475.31	471.00
66005	1	45	Exptl	-240	2100	A	293	483.29	485.33	481.00
66005	1	46	Exptl	-250	1850	A	339	495.34	497.37	493.00
66005	1	47	Exptl	190	2040	A	325	506.33	508.35	504.00
66005	1	48	Exptl	200	2240	B	249	518.25	520.27	516.00
66005	1	49	Exptl	-240	2000	A	409	528.41	530.43	526.00
66005	1	50	Exptl	-60	1940	D	372	540.37	542.41	538.00
66005	1	51	Exptl	-50	1890	C	408	551.41	553.44	549.00
66005	1	52	Exptl	210	2100	B	635	563.64	565.66	561.00
66005	1	53	Exptl	210	2310	A	354	573.35	575.39	571.00
66005	1	54	Exptl	100	2410	C	284	585.28	587.31	583.00
66005	1	55	Exptl	-260	2150	A	464	595.46	597.50	593.00
66005	1	56	Exptl	-40	2110	D	333	606.33	608.37	604.00
66005	1	57	Exptl	210	2320	A	423	616.42	618.46	614.00
66005	1	58	Exptl	190	2510	B	230	628.23	630.26	626.00
66005	1	59	Exptl	110	2620	D	366	639.37	641.39	637.00
66005	1	60	Exptl	110	2730	C	368	650.37	652.39	648.00
66005	1	61	Exptl	190	2920	A	454	662.45	664.48	660.00
66005	1	62	Exptl	-260	2660	B	383	672.38	674.41	670.00
66005	1	63	Exptl	-60	2600	D	291	684.29	686.31	682.00
66005	1	64	Exptl	-40	2560	C	794	696.79	698.82	694.00
66005	1	65	Exptl	-60	2500	C	330	707.33	709.35	705.00
66005	1	66	Exptl	-40	2460	C	354	718.35	720.38	716.00
66005	1	67	Exptl	90	2550	C	349	729.35	731.38	727.00
