Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67010	1	1	Exptl	200	2200	A	1771	3.77	5.80	0.00
67010	1	2	Exptl	190	2390	B	740	12.74	14.78	10.00
67010	1	3	Exptl	90	2480	C	777	24.78	26.80	22.00
67010	1	4	Exptl	100	2580	D	549	36.55	38.58	34.00
67010	1	5	Exptl	190	2770	A	615	47.62	49.66	45.00
67010	1	6	Exptl	-40	2730	C	474	58.48	60.51	56.00
67010	1	7	Exptl	-240	2490	B	468	69.47	71.51	67.00
67010	1	8	Exptl	90	2580	D	577	79.58	81.61	77.00
67010	1	9	Exptl	-50	2530	D	693	89.69	91.72	87.00
67010	1	10	Exptl	-250	2280	A	657	99.66	101.70	97.00
67010	1	11	Exptl	100	2380	C	566	110.57	112.60	108.00
67010	1	12	Exptl	200	2580	B	587	122.59	124.62	120.00
67010	1	13	Exptl	210	2790	A	544	134.55	136.57	132.00
67010	1	14	Exptl	110	2900	D	441	145.44	147.47	143.00
67010	1	15	Exptl	-40	2860	C	465	156.47	158.50	154.00
67010	1	16	Exptl	-240	2620	A	973	168.97	171.02	166.00
67010	1	17	Exptl	-40	2580	D	400	178.40	180.44	176.00
67010	1	18	Exptl	110	2690	C	845	189.85	191.89	187.00
67010	1	19	Exptl	90	2780	D	1084	200.09	202.11	197.00
67010	1	20	Exptl	-260	2520	A	505	211.51	213.53	209.00
67010	1	21	Exptl	90	2610	C	452	221.45	223.49	219.00
67010	1	22	Exptl	-60	2550	D	383	232.38	234.42	230.00
67010	1	23	Exptl	-260	2290	B	532	244.53	246.56	242.00
67010	1	24	Exptl	190	2480	A	349	254.35	256.39	252.00
67010	1	25	Exptl	210	2690	B	555	264.56	266.60	262.00
67010	1	26	Exptl	-60	2630	C	466	275.47	277.49	273.00
67010	1	27	Exptl	-260	2370	A	350	287.35	289.38	285.00
67010	1	28	Exptl	210	2580	A	330	297.33	299.37	295.00
67010	1	29	Exptl	210	2790	B	415	309.42	311.45	307.00
67010	1	30	Exptl	110	2900	C	906	320.91	322.93	318.00
67010	1	31	Exptl	-40	2860	D	783	330.78	332.82	328.00
67010	1	32	Exptl	110	2970	D	657	340.66	342.70	338.00
67010	1	33	Exptl	-60	2910	D	538	350.54	352.57	348.00
67010	1	34	Exptl	-260	2650	B	432	362.43	364.46	360.00
67010	1	35	Exptl	190	2840	B	304	372.31	374.33	370.00
67010	1	36	Exptl	-60	2780	C	312	383.31	385.35	381.00
67010	1	37	Exptl	-250	2530	B	480	394.48	396.52	392.00
67010	1	38	Exptl	90	2620	D	412	406.41	408.45	404.00
67010	1	39	Exptl	110	2730	D	100	417.10	419.14	415.00
