Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68001	1	1	Exptl	190	2190	B	832	2.83	4.87	0.00
68001	1	2	Exptl	100	2290	D	1213	13.21	15.25	10.00
68001	1	3	Exptl	90	2380	C	570	24.57	26.60	22.00
68001	1	4	Exptl	200	2580	A	627	36.63	38.66	34.00
68001	1	5	Exptl	-40	2540	C	670	47.67	49.70	45.00
68001	1	6	Exptl	190	2730	A	518	58.52	60.55	56.00
68001	1	7	Exptl	90	2820	D	722	69.72	71.75	67.00
68001	1	8	Exptl	100	2920	C	575	79.58	81.61	77.00
68001	1	9	Exptl	-250	2670	A	570	89.57	91.60	87.00
68001	1	10	Exptl	-240	2430	B	736	99.74	101.78	97.00
68001	1	11	Exptl	210	2640	A	570	110.57	112.61	108.00
68001	1	12	Exptl	-50	2590	D	715	122.72	124.75	120.00
68001	1	13	Exptl	200	2790	B	491	134.49	136.52	132.00
68001	1	14	Exptl	-40	2750	C	532	145.53	147.57	143.00
68001	1	15	Exptl	-240	2510	A	462	156.46	158.50	154.00
68001	1	16	Exptl	-260	2250	B	671	168.67	170.71	166.00
68001	1	17	Exptl	-260	1990	A	698	178.70	180.73	176.00
68001	1	18	Exptl	0	1990	None	.	192.00	194.00	187.00
68001	1	19	Exptl	190	2180	A	519	199.52	201.55	197.00
68001	1	20	Exptl	110	2290	D	422	211.42	213.46	209.00
68001	1	21	Exptl	210	2500	B	420	221.42	223.45	219.00
68001	1	22	Exptl	110	2610	C	369	232.37	234.40	230.00
68001	1	23	Exptl	-260	2350	A	375	244.38	246.41	242.00
68001	1	24	Exptl	210	2560	B	615	254.62	256.65	252.00
68001	1	25	Exptl	90	2650	C	360	264.36	266.39	262.00
68001	1	26	Exptl	-40	2610	D	432	275.43	277.47	273.00
68001	1	27	Exptl	210	2820	A	436	287.44	289.48	285.00
68001	1	28	Exptl	-260	2560	B	433	297.44	299.47	295.00
68001	1	29	Exptl	-60	2500	C	785	309.79	311.83	307.00
68001	1	30	Exptl	-240	2260	A	367	320.37	322.41	318.00
68001	1	31	Exptl	90	2350	D	448	330.45	332.48	328.00
68001	1	32	Exptl	-240	2110	A	438	340.44	342.47	338.00
68001	1	33	Exptl	110	2220	C	384	350.39	352.41	348.00
68001	1	34	Exptl	190	2410	B	382	362.38	364.42	360.00
68001	1	35	Exptl	190	2600	A	485	372.49	374.53	370.00
68001	1	36	Exptl	-60	2540	D	675	383.68	385.71	381.00
68001	1	37	Exptl	210	2750	A	384	394.39	396.43	392.00
68001	1	38	Exptl	-250	2500	B	732	406.73	408.77	404.00
68001	1	39	Exptl	-40	2460	D	683	417.69	419.72	415.00
68001	1	40	Exptl	-260	2200	A	423	427.43	429.46	425.00
68001	1	41	Exptl	110	2310	D	901	438.90	440.94	436.00
68001	1	42	Exptl	-60	2250	C	322	449.32	451.35	447.00
68001	1	43	Exptl	-240	2010	B	527	461.53	463.56	459.00
68001	1	44	Exptl	-60	1950	D	523	473.53	475.57	471.00
68001	1	45	Exptl	210	2160	A	552	483.55	485.59	481.00
68001	1	46	Exptl	90	2250	D	417	495.42	497.45	493.00
68001	1	47	Exptl	200	2450	B	720	506.72	508.76	504.00
68001	1	48	Exptl	-50	2400	C	381	518.38	520.42	516.00
