Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
66011	1	1	Exptl	200	2200	A	2670	4.67	6.70	0.00
66011	1	2	Exptl	100	2300	D	854	12.85	14.89	10.00
66011	1	3	Exptl	90	2390	C	497	24.50	26.53	22.00
66011	1	4	Exptl	190	2580	B	1203	37.20	39.24	34.00
66011	1	5	Exptl	190	2770	A	861	47.86	49.89	45.00
66011	1	6	Exptl	90	2860	D	1008	59.01	61.04	56.00
66011	1	7	Exptl	-40	2820	C	.	69.00	71.03	67.00
66011	1	8	Exptl	-240	2580	B	1764	80.76	82.80	77.00
66011	1	9	Exptl	-250	2330	A	2379	91.38	93.41	87.00
66011	1	10	Exptl	210	2540	A	370	99.37	101.40	97.00
66011	1	11	Exptl	-50	2490	D	1338	111.34	113.36	108.00
66011	1	12	Exptl	-240	2250	A	1039	123.04	125.06	120.00
66011	1	13	Exptl	-260	1990	A	991	134.99	137.02	132.00
66011	1	14	Exptl	190	2180	A	314	145.31	147.35	143.00
66011	1	15	Exptl	200	2380	B	358	156.36	158.38	154.00
66011	1	16	Exptl	100	2480	C	771	168.77	170.80	166.00
66011	1	17	Exptl	110	2590	D	1076	179.08	181.10	176.00
66011	1	18	Exptl	-40	2550	D	654	189.65	191.68	187.00
66011	1	19	Exptl	90	2640	D	1030	200.03	202.05	197.00
66011	1	20	Exptl	-40	2600	C	916	211.92	213.94	209.00
66011	1	21	Exptl	110	2710	C	599	221.60	223.63	219.00
66011	1	22	Exptl	-60	2650	D	604	232.60	234.63	230.00
66011	1	23	Exptl	-40	2610	D	688	244.69	246.72	242.00
66011	1	24	Exptl	110	2720	D	546	254.55	256.58	252.00
66011	1	25	Exptl	-60	2660	D	524	264.52	266.55	262.00
66011	1	26	Exptl	-260	2400	B	677	275.68	277.70	273.00
66011	1	27	Exptl	90	2490	C	546	287.55	289.57	285.00
66011	1	28	Exptl	-260	2230	A	482	297.48	299.52	295.00
66011	1	29	Exptl	210	2440	A	508	309.51	311.54	307.00
66011	1	30	Exptl	210	2650	B	409	320.41	322.44	318.00
66011	1	31	Exptl	90	2740	D	421	330.42	332.44	328.00
66011	1	32	Exptl	-60	2680	C	604	340.60	342.64	338.00
66011	1	33	Exptl	110	2790	C	.	350.00	352.02	348.00
66011	1	34	Exptl	-240	2550	A	659	362.66	364.68	360.00
66011	1	35	Exptl	-240	2310	A	561	372.56	374.59	370.00
66011	1	36	Exptl	190	2500	A	357	383.36	385.39	381.00
66011	1	37	Exptl	-60	2440	C	429	394.43	396.46	392.00
66011	1	38	Exptl	210	2650	B	1407	407.41	409.44	404.00
66011	1	39	Exptl	210	2860	A	445	417.45	419.48	415.00
66011	1	40	Exptl	-50	2810	C	1541	428.54	430.58	425.00
66011	1	41	Exptl	110	2920	D	1062	439.06	441.09	436.00
66011	1	42	Exptl	100	3020	C	355	449.36	451.38	447.00
66011	1	43	Exptl	-260	2760	B	1157	462.16	464.19	459.00
66011	1	44	Exptl	190	2950	B	483	473.48	475.51	471.00
66011	1	45	Exptl	110	3060	C	350	483.35	485.39	481.00
66011	1	46	Exptl	-260	2800	A	441	495.44	497.48	493.00
66011	1	47	Exptl	210	3010	A	355	506.36	508.39	504.00
66011	1	48	Exptl	-250	2760	B	329	518.33	520.36	516.00
66011	1	49	Exptl	-240	2520	B	320	528.32	530.35	526.00
66011	1	50	Exptl	200	2720	B	454	540.45	542.48	538.00
66011	1	51	Exptl	-40	2680	C	271	551.27	553.29	549.00
66011	1	52	Exptl	-60	2620	C	471	563.47	565.50	561.00
66011	1	53	Exptl	-40	2580	C	509	573.51	575.54	571.00
66011	1	54	Exptl	90	2670	C	431	585.43	587.46	583.00
66011	1	55	Exptl	110	2780	C	339	595.34	597.37	593.00
66011	1	56	Exptl	-50	2730	C	337	606.34	608.37	604.00
66011	1	57	Exptl	190	2920	A	286	616.29	618.31	614.00
66011	1	58	Exptl	210	3130	B	607	628.61	630.64	626.00
66011	1	59	Exptl	-60	3070	D	337	639.34	641.37	637.00
66011	1	60	Exptl	-60	3010	D	1847	651.85	653.88	648.00
66011	1	61	Exptl	90	3100	D	390	662.39	664.42	660.00
66011	1	62	Exptl	190	3290	B	410	672.41	674.45	670.00
66011	1	63	Exptl	90	3380	C	381	684.38	686.40	682.00
66011	1	64	Exptl	200	3580	A	334	696.33	698.36	694.00
66011	1	65	Exptl	-60	3520	C	444	707.44	709.47	705.00
66011	1	66	Exptl	-260	3260	A	766	718.77	720.79	716.00
66011	1	67	Exptl	110	3370	D	379	729.38	731.40	727.00
66011	1	68	Exptl	-40	3330	D	412	739.41	741.45	737.00
66011	1	69	Exptl	100	3430	C	420	749.42	751.45	747.00
66011	1	70	Exptl	100	3530	D	421	759.42	761.45	757.00
66011	1	71	Exptl	110	3640	C	530	770.53	772.56	768.00
66011	1	72	Exptl	-240	3400	A	330	782.33	784.37	780.00
66011	1	73	Exptl	-250	3150	A	395	792.40	794.42	790.00
66011	1	74	Exptl	190	3340	A	340	804.34	806.36	802.00
66011	1	75	Exptl	-260	3080	B	360	814.36	816.39	812.00
66011	1	76	Exptl	-240	2840	A	365	825.37	827.39	823.00
66011	1	77	Exptl	-260	2580	B	487	835.49	837.51	833.00
66011	1	78	Exptl	210	2790	A	389	847.39	849.42	845.00
66011	1	79	Exptl	-260	2530	A	369	858.37	860.40	856.00
66011	1	80	Exptl	210	2740	A	348	869.35	871.38	867.00
66011	1	81	Exptl	-240	2500	B	389	881.39	883.42	879.00
