Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
67012	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
67012	1	2	Exptl	100	2100	D	1311	13.31	15.34	10.00
67012	1	3	Exptl	0	2100	None	.	27.00	29.00	22.00
67012	1	4	Exptl	190	2290	B	1973	37.97	40.00	34.00
67012	1	5	Exptl	-240	2050	B	2643	49.64	51.68	45.00
67012	1	6	Exptl	90	2140	C	947	58.95	60.98	56.00
67012	1	7	Exptl	200	2340	B	1100	70.10	72.13	67.00
67012	1	8	Exptl	-40	2300	C	789	79.79	81.82	77.00
67012	1	9	Exptl	-260	2040	B	1568	90.57	92.60	87.00
67012	1	10	Exptl	90	2130	D	.	99.00	101.03	97.00
67012	1	11	Exptl	210	2340	B	598	110.60	112.63	108.00
67012	1	12	Exptl	200	2540	A	872	122.87	124.90	120.00
67012	1	13	Exptl	100	2640	C	474	134.47	136.51	132.00
67012	1	14	Exptl	210	2850	B	279	145.28	147.30	143.00
67012	1	15	Exptl	-40	2810	C	404	156.40	158.44	154.00
67012	1	16	Exptl	-260	2550	B	767	168.77	170.80	166.00
67012	1	17	Exptl	-50	2500	D	.	178.00	180.03	176.00
67012	1	18	Exptl	190	2690	A	1467	190.47	192.49	187.00
67012	1	19	Exptl	110	2800	D	1083	200.08	202.11	197.00
67012	1	20	Exptl	-250	2550	A	903	211.90	213.94	209.00
67012	1	21	Exptl	110	2660	C	853	221.85	223.88	219.00
67012	1	22	Exptl	190	2850	B	37	232.04	234.07	230.00
67012	1	23	Exptl	90	2940	C	1776	245.78	247.81	242.00
67012	1	24	Exptl	-250	2690	B	837	254.84	256.86	252.00
67012	1	25	Exptl	-40	2650	D	.	264.00	266.03	262.00
67012	1	26	Exptl	210	2860	A	.	275.00	277.02	273.00
67012	1	27	Exptl	90	2950	D	1612	288.61	290.64	285.00
67012	1	28	Exptl	-240	2710	B	799	297.80	299.83	295.00
67012	1	29	Exptl	-60	2650	C	814	309.81	311.85	307.00
67012	1	30	Exptl	-240	2410	A	1916	321.92	323.94	318.00
67012	1	31	Exptl	110	2520	C	852	330.85	332.88	328.00
67012	1	32	Exptl	200	2720	B	829	340.83	342.85	338.00
67012	1	33	Exptl	-60	2660	D	1157	351.16	353.19	348.00
67012	1	34	Exptl	-60	2600	C	855	362.86	364.88	360.00
